galaxy,fdm_outer_mean,age_literature,age_combined_proxy,age_best,age_source,SB0_disk_Lpc2,Vmax_kms,Rmax_kpc
UGC11914,0.5248175734542176,,1.8749281467080996,1.8749281467080996,proxy,2455.96,305.0,9.83
NGC5005,0.3743121830933004,,2.066565585179876,2.066565585179876,proxy,3509.72,265.0,11.47
UGC06973,0.4121089937434574,,2.4159054172192245,2.4159054172192245,proxy,2252.19,180.0,7.85
NGC4214,0.8953505888057519,2.8,4.218073526097815,2.8,literature,541.3,80.6,5.63
NGC3949,0.4200852632942549,,3.1827244426563417,3.1827244426563417,proxy,751.83,169.0,7.07
NGC4085,0.3424208529795827,,3.194467776220125,3.194467776220125,proxy,888.2,136.0,6.2
NGC2976,0.4894350786421657,3.2,2.9395307126261496,3.2,literature,401.24,88.7,2.27
NGC4389,0.0491253663911845,,3.3740703490757284,3.3740703490757284,proxy,794.32,110.0,5.32
NGC6789,0.8378765401091427,,3.4726043143138097,3.4726043143138097,proxy,126.29,60.4,0.71
UGC07232,0.6285098349226783,,3.4833453202667957,3.4833453202667957,proxy,132.25,44.0,0.82
NGC1705,0.9228645096155268,3.5,4.469217462388255,3.5,literature,512.85,73.2,6.0
UGC03546,0.7043769659799913,,3.785429790967056,3.785429790967056,proxy,1981.83,262.0,29.23
F571-8,0.8906247642842416,,3.806605648120186,3.806605648120186,proxy,1846.57,144.0,15.55
NGC3877,0.3073237863073912,,3.8950207831992354,3.8950207831992354,proxy,753.73,171.0,11.35
ESO563-G021,0.7764168602013582,,3.897959303358868,3.897959303358868,proxy,2096.34,321.0,42.41
UGC02953,0.8452101660794661,,3.94281960190626,3.94281960190626,proxy,2863.21,319.0,62.39
UGC11455,0.6601397662530631,,4.054552368450091,4.054552368450091,proxy,1873.58,291.0,41.93
NGC0801,0.6036845089354151,,4.0646138731793995,4.0646138731793995,proxy,2905.87,238.0,59.82
NGC3893,0.6711728625757053,,4.143916080278552,4.143916080278552,proxy,1038.77,194.0,19.05
NGC5033,0.7789295238402115,,4.162656932494046,4.162656932494046,proxy,2166.2,225.0,44.59
NGC2955,0.4770210760055498,,4.184392710724465,4.184392710724465,proxy,1391.81,276.0,35.43
NGC2998,0.6802900211220537,,4.195264249874999,4.195264249874999,proxy,2070.29,214.0,42.28
UGC08699,0.791536036859279,,4.237582400506286,4.237582400506286,proxy,1284.41,202.0,25.7
UGC05721,0.8728897803721353,,4.274263521119044,4.274263521119044,proxy,657.92,82.6,6.74
NGC3953,0.4244515278000844,,4.283854908119726,4.283854908119726,proxy,498.34,224.0,15.68
NGC1090,0.670800466475869,,4.32849288579558,4.32849288579558,proxy,1540.43,176.0,30.09
NGC7814,0.7381629865781583,,4.377563914974401,4.377563914974401,proxy,482.94,265.0,19.53
NGC5371,0.5381608062672952,,4.380881447623705,4.380881447623705,proxy,1579.45,242.0,46.24
UGC02455,0.0632949162411537,,4.424809858000813,4.424809858000813,proxy,372.13,61.0,4.03
NGC4157,0.6904720227800117,,4.460280674999797,4.460280674999797,proxy,1123.87,201.0,29.61
NGC4088,0.4436945142290823,,4.538553842467689,4.538553842467689,proxy,790.04,182.0,21.48
NGC4051,0.2691317450301131,,4.565776676598901,4.565776676598901,proxy,395.16,161.0,12.19
UGCA281,0.7046195526618444,,4.619379583770757,4.619379583770757,proxy,85.81,29.5,1.08
NGC3972,0.6793981903291543,,4.691063233139265,4.691063233139265,proxy,254.81,134.0,8.72
ESO079-G014,0.6866638620508888,,4.718169713873284,4.718169713873284,proxy,455.28,178.0,16.67
NGC6015,0.8272484744824716,,4.727914435084199,4.727914435084199,proxy,934.63,166.0,29.23
NGC4138,0.6645684925451341,,4.73740915138319,4.73740915138319,proxy,455.38,195.0,18.58
NGC0289,0.7979760798069894,,4.771983461183176,4.771983461183176,proxy,1392.39,194.0,71.12
UGC09133,0.812979217517507,,4.773520820284082,4.773520820284082,proxy,1402.59,289.0,108.31
NGC6946,0.6228624471840517,4.8,3.953371107357391,4.8,literature,1609.94,181.0,20.4
UGC06787,0.8601634555314388,,4.836230953332349,4.836230953332349,proxy,623.48,276.0,37.19
NGC2683,0.7506171270052326,,4.83840344610484,4.83840344610484,proxy,755.39,212.0,34.62
NGC0024,0.8746992530275897,,4.894636302326365,4.894636302326365,proxy,410.75,110.0,11.27
NGC6195,0.4650353238136814,,4.927474972240788,4.927474972240788,proxy,581.62,258.0,36.43
UGC02885,0.7544175828791496,,4.956168456204276,4.956168456204276,proxy,879.93,305.0,74.07
UGC05253,0.7562011833178217,,4.976079093055848,4.976079093055848,proxy,789.02,248.0,53.29
NGC4010,0.6373193094153932,,4.9856606002950175,4.9856606002950175,proxy,255.76,129.0,10.47
UGC03205,0.7882027867778133,,5.013953607353709,5.013953607353709,proxy,618.49,237.0,40.04
UGC07690,0.6676358322533823,,5.015818469609102,5.015818469609102,proxy,180.6,60.7,4.13
