Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk
DDO161,0.7375269671912763,0.7807191231366768,0.0,31,8.664,8.409,0.044,1.27,0.56,2.04,1.22,20.74,1,0.3268925307098793,0.10806202115335035
ESO563-G021,0.5440116862590436,0.601434539365549,0.0,30,11.432,11.186,0.009,3.0,0.57,10.59,5.45,429.37,1,0.25616800961053804,0.21218378541046937
F568-1,0.7700189537873501,0.7647436173378298,0.0,12,9.674,9.411,0.061,2.5,0.55,7.0,5.18,20.36,1,,0.7709855315626171
F568-3,0.7019564380775881,0.7278429930555556,0.0,18,9.786,9.521,0.029,2.73,0.54,7.47,4.99,23.81,1,0.6880006388415125,0.6241210055824128
F568-V1,0.8279879847744901,0.8279879847744901,0.0,15,9.439,9.174,0.036,2.85,0.54,4.4,2.85,31.39,1,0.7971299846673782,0.8262821553849902
F571-V1,0.7646152170566465,0.7818027307041557,0.0,7,9.051,8.786,0.052,2.77,0.54,4.38,2.47,15.3,2,0.715921574418322,0.6648996641110715
F574-1,0.67133750537751,0.6559149363838759,0.0,14,9.67,9.482,0.026,3.16,0.65,5.87,4.46,29.98,1,0.6632273124805246,0.6911762476430774
F574-2,-0.3336095883487653,-0.3204320624999999,0.0,5,9.308,9.102,0.078,3.12,0.62,6.48,3.76,10.89,3,,-0.3831971469907406
F579-V1,0.5833637080640197,0.6050487457679286,0.0,14,10.003,9.805,0.022,3.14,0.63,5.76,3.37,56.6,1,0.546761424216501,0.5408891232722384
F583-1,0.7505209889687425,0.7478455072511017,0.0,25,8.885,8.62,0.046,2.87,0.54,3.74,2.36,11.19,1,0.8270539750232997,0.8386601994089817
NGC0024,0.7935027482488873,0.8326386033057851,0.0,29,9.642,9.384,0.005,1.76,0.55,2.01,1.34,151.65,1,0.5876028275045391,0.553746629868187
NGC0289,0.6882191491644316,0.7342334912764004,0.0,28,10.859,10.594,0.006,2.84,0.54,2.69,6.74,1587.93,2,-0.5973704363464096,0.2975250940459158
NGC0801,0.2890384894106088,0.36761239283264746,0.0,13,11.45,11.186,0.008,2.55,0.55,7.76,8.72,818.14,1,-0.257805407657519,-0.17958804028677508
NGC1003,0.8389901491424867,0.8197299508506616,0.0,36,9.861,9.606,0.012,1.29,0.56,2.76,1.61,140.87,1,0.1962993861182269,-0.05669185703702833
NGC1090,0.4083830235364867,0.45247613671875,0.0,24,10.856,10.794,0.005,3.6,0.87,6.36,3.53,283.68,1,0.07097084502960564,-0.06561205042601645
NGC1705,0.8791765487677885,0.8860208909971148,0.0,14,8.79,8.533,0.007,1.61,0.55,0.49,0.39,347.4,3,0.5368093340821773,0.49732350165517736
NGC2403,0.7695433424712109,0.7937815883270216,0.0,73,10.014,9.76,0.018,2.97,0.56,2.16,1.39,341.06,1,0.23445979738221776,-0.03493543780392156
NGC2683,0.524755269270118,0.542973597649226,0.06405700532148172,11,10.856,10.903,0.004,4.19,1.11,3.34,2.18,1139.8,2,-0.182171678562779,-0.31001351682902323
NGC2841,0.7694494297997532,0.7964078613077884,0.18774434774898552,50,11.246,11.293,0.005,4.13,1.11,5.51,3.64,983.63,1,0.23729135334144008,0.17978328542245525
NGC2903,0.47114998077007014,0.5293418364197532,0.0,34,10.679,10.717,0.004,3.92,1.09,4.54,2.33,632.16,1,-0.05661234096928294,-0.6059049995248038
NGC2915,0.9018642776127828,0.9098444852818337,0.0,30,8.834,8.572,0.013,2.25,0.55,0.53,0.55,347.4,2,-0.6627484353169844,-0.20630507601737624
NGC2955,0.12313576876468364,0.11045814783908081,0.19218687413316193,24,11.43,11.404,0.005,3.7,0.94,7.22,18.76,974.61,1,-0.0977396489817328,
NGC2976,0.06124946782354518,0.13183892722602386,0.0,27,9.544,9.462,0.005,3.49,0.83,1.31,1.01,308.2,2,,0.14031006779575977
NGC2998,0.4562100656108046,0.48862276444466013,0.0,13,11.126,11.061,0.008,3.58,0.86,7.06,6.2,479.55,1,0.014356713328486783,0.005691555811308337
NGC3198,0.704142562422947,0.7258266519526146,0.0,43,10.554,10.464,0.007,3.45,0.81,5.84,3.14,178.99,1,0.31383557508952753,0.03952557921584338
NGC3521,0.35081496528105066,0.44612505184277507,0.0,41,10.873,10.92,0.008,4.04,1.11,2.45,2.4,2232.7,1,-0.5427494853898126,-0.5021889884426344
NGC3726,0.555001560470492,0.5902326723797913,0.0,12,10.837,10.706,0.006,3.31,0.74,7.52,3.4,198.08,2,-0.1472206106467558,-0.43869267543793505
NGC3741,0.9194601690983709,0.9267264587464695,0.0,21,7.455,7.192,0.023,2.44,0.55,0.32,0.2,42.94,1,0.5276932098412088,0.2684097909990809
NGC3769,0.750958430562298,0.7507849165948782,0.0,12,10.239,10.147,0.006,3.44,0.81,2.18,3.38,626.37,2,-0.45086030292433193,0.1891561284852948
