row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
0,2011fe,51,210.774,54.2737,0.00122,0.00122,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,9.486014208387772,4.24,2.237267501978248,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
1,2011fe,56,210.774,54.2737,0.00122,0.00122,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,9.486014208387772,4.24,2.237267501978248,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
2,2012cg,51,186.803,9.4203,0.00256,0.00256,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,near_void_edge,near_void_edge,outside_filament_catalog_redshift,14207.0,dim1,4.964436235023242,4.24,1.1708576025998212,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
3,2012cg,56,186.803,9.4203,0.00256,0.00256,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,near_void_edge,near_void_edge,outside_filament_catalog_redshift,14207.0,dim1,4.964436235023242,4.24,1.1708576025998212,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
4,1994DRichmond,50,188.51,7.7016,0.00299,0.00299,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,outside_filament_catalog_redshift,14207.0,dim1,3.947873412281933,4.24,0.9311022198778144,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
5,1981B,50,188.623,2.1998,0.00317,0.0035,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,outside_filament_catalog_redshift,14207.0,dim1,3.9439875246890312,4.24,0.9301857369549602,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
6,2013aa,56,218.141,-44.2244,0.00331,0.00478,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,10.4897103633995,4.24,2.4739882932545987,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
7,2013aa,5,218.141,-44.2244,0.00331,0.00478,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,10.4897103633995,4.24,2.4739882932545987,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
8,2017cbv,5,218.143,-44.1341,0.00331,0.00478,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,10.475685259655087,4.24,2.470680485767709,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
9,2017cbv,18,218.143,-44.1341,0.00331,0.00478,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,10.475685259655087,4.24,2.470680485767709,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
