stage,metric,value,notes
naive_size_transfer,holdout_r2,-1.370476108,"Fixed 40 swaps and 40 history events; rejected as non-intensive"
naive_size_transfer,holdout_mae,0.040757891,"Normalized H_geo/<d>"
scaled_training,amplitude_A,0.18364957,"Fit only on n=48/64 regular graphs"
scaled_training,lambda_threshold,0.26092832,"lambda_eff = beta*sigma(DeltaK)/(alpha*sigma(DeltaTriangles))"
scaled_training,training_r2,0.802396250,"24 configuration means; 8 seeds/config"
scaled_training,training_mae,0.015935265,"Normalized H_geo/<d>"
scaled_size_holdout,holdout_r2,-0.878422942,"Fresh n=80/96, memory_decay=0.95; frozen law"
scaled_size_holdout,holdout_mae,0.038764639,"Transfer fails despite exposure/update scaling"
topology_regular,H_geo_mean,0.168656716,"n=64 degree=4 decay=0.90 beta=0.10; 15 seeds"
topology_regular,H_geo_sd,0.175127104,"p=0.00224077 vs zero"
topology_regular,edge_contrast_mean,0.004643449,"Local extreme-pair adjacency contrast"
topology_smallworld,H_geo_mean,0.069817579,"15 seeds; p=0.39635415 vs zero"
topology_smallworld,H_geo_sd,0.309042460,"No significant global transfer"
topology_smallworld,edge_contrast_mean,0.005140962,"p=0.05617848 vs zero"
topology_ring,H_geo_mean,0.0,"15/15 seeds: no accepted history-specific response at frozen coupling"
topology_ring,edge_contrast_mean,0.0,"Topology-transfer failure"
