Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk,Rmax,Rhalf_split,fDM_inner_half_mean,fDM_outer_half_mean,n_inner_half,n_outer_half,fDM_outer_minus_inner_half,fDM_inner_Reff_mean,fDM_outer_Reff_mean,n_inner_Reff,n_outer_Reff,fDM_outer_minus_inner_Reff
DDO161,0.7375269671912763,0.7807191231366768,0.0,31,8.664,8.409,0.044,1.27,0.56,2.04,1.22,20.74,1,0.3268925307098793,0.1080620211533503,13.37,6.685,0.23612050979997962,0.6937605180758463,16,15,0.45764000827586665,0.07708817226878262,0.5685299467523287,7.0,24.0,0.4914417744835461
ESO563-G021,0.5440116862590436,0.601434539365549,0.0,30,11.432,11.186,0.009,3.0,0.57,10.59,5.45,429.37,1,0.256168009610538,0.2121837854104693,42.41,21.205,-0.06663223213116935,0.43957777255455877,17,13,0.5062100046857281,-0.21738417530648502,0.36699942238688005,11.0,19.0,0.5843835976933651
F568-1,0.7700189537873501,0.7647436173378298,0.0,12,9.674,9.411,0.061,2.5,0.55,7.0,5.18,20.36,1,,0.7709855315626171,13.23,6.615,0.7173969072126195,0.7833397173330804,7,5,0.06594281012046088,0.7173969072126195,0.7833397173330804,7.0,5.0,0.06594281012046088
F568-3,0.7019564380775881,0.7278429930555556,0.0,18,9.786,9.521,0.029,2.73,0.54,7.47,4.99,23.81,1,0.6880006388415125,0.6241210055824128,17.98,8.99,0.46742539868979843,0.6642847434160123,12,6,0.19685934472621386,0.46742539868979843,0.6642847434160123,12.0,6.0,0.19685934472621386
F568-V1,0.8279879847744901,0.8279879847744901,0.0,15,9.439,9.174,0.036,2.85,0.54,4.4,2.85,31.39,1,0.7971299846673782,0.8262821553849902,17.63,8.815,0.7584131491632846,0.7980193239731613,11,4,0.039606174809876715,0.7101859610867405,0.808167352240926,6.0,9.0,0.09798139115418547
F571-V1,0.7646152170566465,0.7818027307041557,0.0,7,9.051,8.786,0.052,2.77,0.54,4.38,2.47,15.3,2,0.715921574418322,0.6648996641110715,13.59,6.795,0.5432840654070076,0.7402368852660156,3,4,0.19695281985900803,0.46782721233603397,0.7310290625226034,2.0,5.0,0.2632018501865694
F574-1,0.67133750537751,0.6559149363838759,0.0,14,9.67,9.482,0.026,3.16,0.65,5.87,4.46,29.98,1,0.6632273124805246,0.6911762476430774,12.6,6.3,0.5646506576323247,0.6816902663014565,7,7,0.11703960866913177,0.5441278798385794,0.682452398563124,6.0,8.0,0.13832451872454465
F574-2,-0.3336095883487653,-0.3204320624999999,0.0,5,9.308,9.102,0.078,3.12,0.62,6.48,3.76,10.89,3,,-0.3831971469907406,10.83,5.415,-0.757963327032136,-0.40735454038065827,2,3,0.3506087866514777,-0.757963327032136,-0.40735454038065827,2.0,3.0,0.3506087866514777
F579-V1,0.5833637080640197,0.6050487457679286,0.0,14,10.003,9.805,0.022,3.14,0.63,5.76,3.37,56.6,1,0.546761424216501,0.5408891232722384,15.16,7.58,0.664085431476319,0.5553936576437236,9,5,-0.10869177383259543,0.6962045546536417,0.5543293269899996,7.0,7.0,-0.14187522766364213
F583-1,0.7505209889687425,0.7478455072511017,0.0,25,8.885,8.62,0.046,2.87,0.54,3.74,2.36,11.19,1,0.8270539750232997,0.8386601994089817,16.26,8.13,0.6821885430216559,0.7644350035336204,22,3,0.08224646051196449,0.55855007112093,0.8152963156635485,12.0,13.0,0.2567462445426185
NGC0024,0.7935027482488873,0.8326386033057851,0.0,29,9.642,9.384,0.005,1.76,0.55,2.01,1.34,151.65,1,0.5876028275045391,0.553746629868187,11.27,5.635,0.49235485246812216,0.7661092519226123,25,4,0.2737543994544901,0.47311458155099095,0.6108633694188882,17.0,12.0,0.13774878786789724
NGC0289,0.6882191491644316,0.7342334912764004,0.0,28,10.859,10.594,0.006,2.84,0.54,2.69,6.74,1587.93,2,-0.5973704363464096,0.2975250940459158,71.12,35.56,0.026348143839967635,0.6642329346980472,16,12,0.6378847908580796,-0.278176618392577,0.34418149056158476,2.0,26.0,0.6223581089541618
NGC0801,0.2890384894106088,0.3676123928326474,0.0,13,11.45,11.186,0.008,2.55,0.55,7.76,8.72,818.14,1,-0.257805407657519,-0.179588040286775,59.82,29.91,-0.46663893577156534,0.17699978767646568,8,5,0.643638723448031,-0.6067139768338988,0.023182167047412466,5.0,8.0,0.6298961438813113
NGC1003,0.8389901491424867,0.8197299508506616,0.0,36,9.861,9.606,0.012,1.29,0.56,2.76,1.61,140.87,1,0.1962993861182269,-0.0566918570370283,30.24,15.12,0.3184117949597995,0.8029169074740592,17,19,0.4845051125142597,-0.330974891568216,0.6273638688076515,2.0,34.0,0.9583387603758675
NGC1090,0.4083830235364867,0.45247613671875,0.0,24,10.856,10.794,0.005,3.6,0.87,6.36,3.53,283.68,1,0.0709708450296056,-0.0656120504260164,30.09,15.045,-0.26579169157752885,0.32892568898054747,12,12,0.5947173805580763,-0.6619994993457381,0.2140844981876271,5.0,19.0,0.8760839975333652
NGC1705,0.8791765487677885,0.8860208909971148,0.0,14,8.79,8.533,0.007,1.61,0.55,0.49,0.39,347.4,3,0.5368093340821773,0.4973235016551773,6.0,3.0,0.6391829098556839,0.8623475612640833,7,7,0.22316465140839936,0.549022237742258,0.766283927699701,1.0,13.0,0.217261689957443
NGC2403,0.7695433424712109,0.7937815883270216,0.0,73,10.014,9.76,0.018,2.97,0.56,2.16,1.39,341.06,1,0.2344597973822177,-0.0349354378039215,20.87,10.435,0.0915139992013275,0.7241014915350285,52,21,0.6325874923337009,-0.03934265719977107,0.391541743862265,20.0,53.0,0.43088440106203607
NGC2683,0.524755269270118,0.542973597649226,0.0640570053214817,11,10.856,10.903,0.004,4.19,1.11,3.34,2.18,1139.8,2,-0.182171678562779,-0.3100135168290232,34.62,17.31,-0.10211070724887623,0.42890214623392864,5,6,0.5310128534828049,-0.39036235547717,0.24532216966363607,1.0,10.0,0.6356845251408061
NGC2841,0.7694494297997532,0.7964078613077884,0.1877443477489855,50,11.246,11.293,0.005,4.13,1.11,5.51,3.64,983.63,1,0.23729135334144,0.1797832854224552,63.64,31.82,0.2646754104438545,0.7194705576264856,34,16,0.4547951471826311,0.11066788404202026,0.45897250439117854,7.0,43.0,0.34830462034915827
NGC2903,0.4711499807700701,0.5293418364197532,0.0,34,10.679,10.717,0.004,3.92,1.09,4.54,2.33,632.16,1,-0.0566123409692829,-0.6059049995248038,24.96,12.48,-0.6148121176244061,0.3782429655710819,20,14,0.9930550831954881,-0.8879994736072377,0.16614331130881246,12.0,22.0,1.0541427849160503
NGC2915,0.9018642776127828,0.9098444852818336,0.0,30,8.834,8.572,0.013,2.25,0.55,0.53,0.55,347.4,2,-0.6627484353169844,-0.2063050760173762,10.04,5.02,0.37148683365037505,0.894353891722389,14,16,0.522867058072014,-1.0,0.7072578599539129,1.0,29.0,1.7072578599539128
NGC2955,0.1231357687646836,0.1104581478390808,0.1921868741331619,24,11.43,11.404,0.005,3.7,0.94,7.22,18.76,974.61,1,-0.0977396489817328,,35.43,17.715,-0.39528785504643227,0.08206098235664477,18,6,0.47734883740307704,-0.41425173991229225,-0.19296998916568542,9.0,15.0,0.22128175074660683
NGC2976,0.0612494678235451,0.1318389272260238,0.0,27,9.544,9.462,0.005,3.49,0.83,1.31,1.01,308.2,2,,0.1403100677957597,2.27,1.135,-0.3168890435833044,-0.02916165008507667,15,12,0.28772739349822773,-0.2706435615730074,-0.025743482939594633,18.0,9.0,0.24490007863341276
NGC2998,0.4562100656108046,0.4886227644446601,0.0,13,11.126,11.061,0.008,3.58,0.86,7.06,6.2,479.55,1,0.0143567133284867,0.0056915558113083,42.28,21.14,0.20006909857188737,0.39492751096627376,8,5,0.1948584123943864,0.3408186051885722,0.2338871646829509,5.0,8.0,-0.10693144050562131
NGC3198,0.704142562422947,0.7258266519526146,0.0,43,10.554,10.464,0.007,3.45,0.81,5.84,3.14,178.99,1,0.3138355750895275,0.0395255792158433,44.08,22.04,-0.0361877949193243,0.6583009791706423,31,12,0.6944887740899667,-0.23866022405509454,0.4429469656216143,18.0,25.0,0.6816071896767089
NGC3521,0.3508149652810506,0.446125051842775,0.0,41,10.873,10.92,0.008,4.04,1.11,2.45,2.4,2232.7,1,-0.5427494853898126,-0.5021889884426344,17.74,8.87,-0.5777191430624902,0.3019443526455952,37,4,0.8796634957080853,-0.6690286523969484,-0.41860300186090965,12.0,29.0,0.25042565053603877
NGC3726,0.555001560470492,0.5902326723797913,0.0,12,10.837,10.706,0.006,3.31,0.74,7.52,3.4,198.08,2,-0.1472206106467558,-0.438692675437935,32.52,16.26,-0.3681596864009493,0.488510493778602,8,4,0.8566701801795513,-0.6891539089614915,0.11958069008792088,3.0,9.0,0.8087345990494124
NGC3741,0.9194601690983708,0.9267264587464696,0.0,21,7.455,7.192,0.023,2.44,0.55,0.32,0.2,42.94,1,0.5276932098412088,0.2684097909990809,7.0,3.5,0.7144476400072814,0.9108839444265973,13,8,0.1964363044193158,0.18091894411747556,0.8196985965694982,1.0,20.0,0.6387796524520226
NGC3769,0.750958430562298,0.7507849165948782,0.0,12,10.239,10.147,0.006,3.44,0.81,2.18,3.38,626.37,2,-0.4508603029243319,0.1891561284852948,37.16,18.58,0.04544121607651505,0.750958430562298,9,3,0.705517214485783,-1.0,0.3328951123977754,1.0,11.0,1.3328951123977755
NGC3877,-0.3672976435754627,-0.292739781520255,0.0,13,10.811,10.649,0.006,4.42,0.69,4.39,2.53,598.18,2,-0.4079631753049115,-0.1092903387844094,11.35,5.675,-0.2999829570588019,-0.35754016309718917,6,7,-0.057557206038387265,-0.35762580393931226,-0.3143187330420718,5.0,8.0,0.04330707089724045
NGC3893,0.4054508516641686,0.4186370934777152,0.0,10,10.789,10.689,0.005,3.41,0.79,2.43,2.38,1573.37,1,-0.2664766267572381,-0.2093343946514353,19.05,9.525,-0.319408727106692,0.34867333720757726,5,5,0.6680820643142693,-0.9590353246135555,0.1228175972353313,1.0,9.0,1.0818529218488868
NGC3917,0.4499498734989361,0.5299894240502958,0.0,17,10.311,10.356,0.006,3.99,1.11,5.56,2.63,112.94,1,0.3676656509252665,0.2757245677142289,14.86,7.43,0.13405271864285212,0.3980124284530979,8,9,0.2639597098102458,0.0842481906117647,0.3771858601409191,6.0,11.0,0.2929376695291544
