subset,metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All,fDM_inner_half_mean,110,-0.45155401974239096,7.370122184363499e-07,-0.4975692302582682,3.19963632119371e-08
All,fDM_outer_half_mean,110,-0.344813411383032,0.00022520472634617448,-0.5026743319915563,2.1940886574676016e-08
All,fDM_outer_minus_inner_half,110,0.28357269051021194,0.002681779513729351,0.3093217458436329,0.0010084313892552701
All,fDM_inner_Reff_mean,106,-0.41371230836179057,1.0428432037334096e-05,-0.44489039625412663,1.7699413445242709e-06
All,fDM_outer_Reff_mean,106,-0.44260157249432447,2.0283277263851994e-06,-0.5894562187170801,2.9796140393044223e-11
All,fDM_outer_minus_inner_Reff,106,0.15649536532983996,0.10915525114223079,0.1560506134370627,0.11017833240621847
Q=1,fDM_inner_half_mean,71,-0.5288787999115474,2.1231125299419723e-06,-0.5620482257209197,3.39193824995587e-07
Q=1,fDM_outer_half_mean,71,-0.497005834170915,1.0391963184671457e-05,-0.5664928194309267,2.6123429310964537e-07
Q=1,fDM_outer_minus_inner_half,71,0.34205629691149164,0.0035039178910068166,0.3352565421484129,0.004263332576760686
Q=1,fDM_inner_Reff_mean,70,-0.4984121521510375,1.1288649929030137e-05,-0.5095129022123296,6.645213562492645e-06
Q=1,fDM_outer_Reff_mean,70,-0.5912114806877251,7.098521592569362e-08,-0.6591410561613055,5.507339701381816e-10
Q=1,fDM_outer_minus_inner_Reff,70,0.1917037750605846,0.11187689550519091,0.13719416757603084,0.2574049595403312
Disk,fDM_inner_half_mean,100,-0.4600033710970078,1.472448154521779e-06,-0.5019240781911122,1.0369140883680523e-07
Disk,fDM_outer_half_mean,100,-0.38036149166280725,9.478233991858498e-05,-0.5500933990685559,3.0606583227784935e-09
Disk,fDM_outer_minus_inner_half,100,0.2664440624708438,0.007371806206323175,0.27706976384977333,0.005259097777649648
Disk,fDM_inner_Reff_mean,96,-0.39230497509368506,7.713509742088818e-05,-0.40854728833545045,3.5911326212474157e-05
Disk,fDM_outer_Reff_mean,96,-0.4495406539882873,4.33532586569052e-06,-0.582307065660946,4.87082066549447e-10
Disk,fDM_outer_minus_inner_Reff,96,0.11267512993036315,0.27438958294245297,0.09786319832384184,0.34283505827324234
Disk+Q=1,fDM_inner_half_mean,64,-0.5398840775175553,4.144828884790798e-06,-0.5508491467088811,2.4008334981408837e-06
Disk+Q=1,fDM_outer_half_mean,64,-0.5433510523438265,3.49484876216692e-06,-0.6062959197083073,1.0994350603093034e-07
Disk+Q=1,fDM_outer_minus_inner_half,64,0.339098332556675,0.006124427681436968,0.3030678013636547,0.014920337297492876
Disk+Q=1,fDM_inner_Reff_mean,63,-0.48748166852359576,5.0764412537474e-05,-0.45686499911065714,0.00016732757873413854
Disk+Q=1,fDM_outer_Reff_mean,63,-0.60796732073842,1.2598748365811554e-07,-0.6493307430779734,8.576128570168507e-09
Disk+Q=1,fDM_outer_minus_inner_Reff,63,0.15873011074655452,0.21403469432513914,0.08288613412362401,0.5183915193693026
