row_type,scenario,lambda_true,beta,noise_sigma,lambda_fit,lambda_se,z_score,memory_basis_R2_from_const_linear_quadratic,memory_basis_residual_rms
basis_absorbability,,,,0.02,,,,0.9999999146267693,0.0006388515712145401
basis_absorbability,,,,0.05,,,,0.9999966814976624,0.0035492208582810574
basis_absorbability,,,,0.1,,,,0.9999478235998205,0.011716257136622237
basis_absorbability,,,,0.25,,,,0.9981873319128005,0.04247324634680087
basis_absorbability,,,,0.5,,,,0.9797780647665262,0.07577467154600431
basis_absorbability,,,,1.0,,,,0.8760456377124254,0.08323132006950178
representative_fit,null_low_noise,0.0,0.25,0.01,0.037022124598218076,0.040403079740596884,0.916319370600315,,
representative_fit,signal_low_noise,0.03,0.25,0.01,0.039081979943587974,0.033824724535642184,1.155426407165742,,
representative_fit,signal_high_noise,0.03,0.25,0.05,-0.004310276660653756,0.19361630590095913,-0.022261950720506973,,
representative_fit,signal_slow_memory,0.03,0.02,0.01,-0.04678177634673375,2.395311819079393,-0.01953055797333047,,
