hidden_strength,measurement_sigma,lambda_true,lambda_fit,lambda_se,z
0.000,0.00,0.0,-0.000199,0.001115,-0.179
0.000,0.02,0.0,-0.000175,0.001105,-0.158
0.000,0.05,0.0,-0.000565,0.001058,-0.534
0.000,0.10,0.0,0.002033,0.000998,2.037
0.000,0.20,0.0,0.001931,0.000823,2.345
0.003,0.00,0.0,0.000908,0.001069,0.849
0.003,0.02,0.0,0.000404,0.001112,0.363
0.003,0.05,0.0,0.001682,0.001078,1.561
0.003,0.10,0.0,0.000614,0.000976,0.630
0.003,0.20,0.0,0.003737,0.000810,4.617
0.006,0.00,0.0,0.000498,0.001125,0.443
0.006,0.02,0.0,0.002457,0.001113,2.208
0.006,0.05,0.0,-0.000287,0.001077,-0.267
0.006,0.10,0.0,0.001852,0.000943,1.964
0.006,0.20,0.0,0.006411,0.000826,7.764
0.012,0.00,0.0,0.002492,0.001094,2.277
0.012,0.02,0.0,0.003652,0.001124,3.250
0.012,0.05,0.0,0.003093,0.001054,2.934
0.012,0.10,0.0,0.005214,0.000968,5.388
0.012,0.20,0.0,0.006007,0.000800,7.505
