lambda_M,time,delta_phase,delta_Pplus
0.0,0,0.0,0.0
0.0,1,0.0,0.0
0.0,2,0.0,0.0
0.0,4,0.0,0.0
0.0,8,0.0,0.0
0.01,1,0.0088479687,-0.0074872176
0.01,2,0.0157387736,-0.0142057883
0.01,4,0.0252848224,0.0195452617
0.01,8,0.0345865887,-0.0340172620
0.03,1,0.0265439060,-0.0227060328
0.03,2,0.0472163208,-0.0419428365
0.03,4,0.0758544671,0.0609406866
0.03,8,0.1037597660,-0.1003595128
0.1,1,0.0884796868,-0.0782839326
0.1,2,0.1573877361,-0.1305371015
0.1,4,0.2528482235,0.2242098300
0.1,8,0.3458658867,-0.2988197522
