theta_frac_pi_over_2,phi_frac_pi_over_2,system_coherence,pointer_trace_distance,pointer_holevo_bits,pointer_mutual_information_bits,omega_pointer,env_fragment_trace_distance,env_fragment_holevo_bits,env_fragment_mutual_information_bits,redundant_env_fragments_ge_0_5_bits
0,0,1,0,0,3.203426504e-16,0,0,0,3.203426504e-16,0
0,0.25,0.7285533906,0,0,3.330669074e-16,0,0.3826834324,0.2333266287,0.3194165708,0
0,0.5,0.25,0,0,3.330669074e-16,0,0.7071067812,0.6008760367,0.647457739,4
0,0.75,0.02144660941,0,0,1.110223025e-16,0,0.9238795325,0.8916186019,0.8935535712,4
0,1,1.405799629e-65,0,0,2.220446049e-16,0,1,1,1,4
0.25,0,0.9238795325,0.3826834324,0.2333266287,0.4666532573,0.08929023511,0,0,3.330669074e-16,0
0.25,0.25,0.6730955659,0.3826834324,0.2333266287,0.3029033834,0.08929023511,0.3826834324,0.2333266287,0.3029033834,0
0.25,0.5,0.2309698831,0.3826834324,0.2333266287,0.2400611714,0.08929023511,0.7071067812,0.6008760367,0.6404387403,4
0.25,0.75,0.01981408347,0.3826834324,0.2333266287,0.2333752249,0.08929023511,0.9238795325,0.8916186019,0.8932700561,4
0.25,1,1.298789504e-65,0.3826834324,0.2333266287,0.2333266287,0.08929023511,1,1,1,4
0.5,0,0.7071067812,0.7071067812,0.6008760367,1.201752073,0.4248835202,0,0,3.330669074e-16,0
0.5,0.25,0.5151650429,0.7071067812,0.6008760367,0.8269854364,0.4248835202,0.3826834324,0.2333266287,0.2700210548,0
0.5,0.5,0.1767766953,0.7071067812,0.6008760367,0.6237810243,0.4248835202,0.7071067812,0.6008760367,0.6237810243,4
0.5,0.75,0.01516504294,0.7071067812,0.6008760367,0.6010419502,0.4248835202,0.9238795325,0.8916186019,0.8925857958,4
0.5,1,9.940504503e-66,0.7071067812,0.6008760367,0.6008760367,0.4248835202,1,1,1,4
0.75,0,0.3826834324,0.9238795325,0.8916186019,1.783237204,0.8237481771,0,0,3.330669074e-16,0
0.75,0.25,0.2788053122,0.9238795325,0.8916186019,1.261868512,0.8237481771,0.3826834324,0.2333266287,0.2432323589,0
0.75,0.5,0.09567085809,0.9238795325,0.8916186019,0.9305720588,0.8237481771,0.7071067812,0.6008760367,0.6075089445,4
0.75,0.75,0.0082072621,0.9238795325,0.8916186019,0.8919018263,0.8237481771,0.9238795325,0.8916186019,0.8919018263,4
0.75,1,5.379762271e-66,0.9238795325,0.8916186019,0.8916186019,0.8237481771,1,1,1,4
1,0,6.123233996e-17,1,1,2,1,0,0,2.220446049e-16,0
1,0.25,4.461102889e-17,1,1,1.427071998,1,0.3826834324,0.2333266287,0.2333266287,0
1,0.5,1.530808499e-17,1,1,1.045565997,1,0.7071067812,0.6008760367,0.6008760367,4
1,0.75,1.313226078e-18,1,1,1.000331814,1,0.9238795325,0.8916186019,0.8916186019,4
1,1,8.608040077e-82,1,1,1,1,1,1,1,4
