N_fragments,phi_over_pi,erased_fragments,remaining_fragments,single_fragment_D,single_fragment_chi_bits,Xi_irr_proxy,redundancy_R09,durable_record_score
4,0.3333333333,0,4,0.8660254038,0.8112781245,0.9375,0,0.7605732417
4,0.3333333333,1,3,0.8660254038,0.8112781245,0.875,0,0.5324012692
4,0.3333333333,2,2,0.8660254038,0.8112781245,0.75,0,0.3042292967
4,0.3333333333,3,1,0.8660254038,0.8112781245,0.5,0,0.1014097656
4,0.3333333333,4,0,0.8660254038,0.8112781245,0.0,0,0.0
4,0.5,0,4,1.0,1.0,1.0,4,1.0
4,0.5,1,3,1.0,1.0,1.0,3,0.75
4,0.5,2,2,1.0,1.0,1.0,2,0.5
4,0.5,3,1,1.0,1.0,1.0,1,0.25
4,0.5,4,0,1.0,1.0,0.0,0,0.0
8,0.5,0,8,1.0,1.0,1.0,8,1.0
8,0.5,4,4,1.0,1.0,1.0,4,0.5
8,0.5,7,1,1.0,1.0,1.0,1,0.125
8,0.5,8,0,1.0,1.0,0.0,0,0.0
