arm,true_d,reward,post_reward,lifetime,failure,maint,gap_action_match,d_est_error
own_paired,0.04,357.911429,182.798571,449.872857,0.201429,0.09785,0.688065,0.018922
external_own,0.04,357.911429,182.798571,449.872857,0.201429,0.09785,0.688065,0.018922
shuffled_pairing,0.04,365.055714,189.942857,489.85,0.038571,0.168848,0.663141,0.114428
compressed_state,0.04,359.132857,184.02,450.275714,0.202857,0.095706,0.700602,0.01
donor,0.04,383.452857,208.34,493.334286,0.018571,0.135509,0.736236,0.08
zero,0.04,359.132857,184.02,450.275714,0.202857,0.095706,0.700602,0.01
oracle,0.04,348.741429,173.628571,437.307143,0.257143,0.094298,0.676471,0.0
own_paired,0.08,305.272857,143.848571,416.81,0.308571,0.169622,0.645139,0.027384
external_own,0.08,305.272857,143.848571,416.81,0.308571,0.169622,0.645139,0.027384
shuffled_pairing,0.08,329.732857,168.308571,467.144286,0.114286,0.205975,0.652044,0.109014
compressed_state,0.08,257.364286,95.94,342.077143,0.617143,0.135391,0.55449,0.03
donor,0.08,221.967143,60.542857,295.224286,0.794286,0.131363,0.437793,0.06
zero,0.08,257.364286,95.94,342.077143,0.617143,0.135391,0.55449,0.03
oracle,0.08,305.831429,144.407143,407.227143,0.347143,0.142171,0.648174,0.0
own_paired,0.12,284.407143,130.894286,431.83,0.252857,0.254703,0.60966,0.032069
external_own,0.12,284.407143,130.894286,431.83,0.252857,0.254703,0.60966,0.032069
shuffled_pairing,0.12,303.048571,149.535714,454.144286,0.162857,0.24574,0.62395,0.103497
compressed_state,0.12,200.12,46.607143,280.082857,0.852857,0.171781,0.363109,0.07
donor,0.12,178.652857,25.14,249.947143,0.957143,0.168801,0.263449,0.1
zero,0.12,200.12,46.607143,280.082857,0.852857,0.171781,0.363109,0.07
oracle,0.12,308.27,154.757143,444.935714,0.192857,0.218141,0.67087,0.0
