condition,pre_degradation,post_degradation,repair_success,diagnostic_noise,window,reward_per_step,post_shift_reward,maintenance_rate,low_health_fraction,final_estimated_degradation,n_steps,seed
reactive,0.02,0.04,0.9,0.05,200,0.8049380000000002,0.7946135999999843,0.06635,0.01646,0.02,100000,1200
frozen_predictive,0.02,0.04,0.9,0.05,200,0.8126640000000046,0.8010007999999824,0.07755,0.01128,0.02,100000,1200
adaptive_internal,0.02,0.04,0.9,0.05,200,0.8121820000000013,0.7994495999999797,0.08365,0.00819,0.04455445544554455,100000,1200
adaptive_external_zero_latency,0.02,0.04,0.9,0.05,200,0.8121820000000013,0.7994495999999797,0.08365,0.00819,0.04455445544554455,100000,1200
reactive,0.02,0.06,0.9,0.05,200,0.7935215999999916,0.7729135999999895,0.07782,0.02343,0.02,100000,1237
frozen_predictive,0.02,0.06,0.9,0.05,200,0.8002591999999932,0.7790615999999856,0.08809,0.01539,0.02,100000,1237
adaptive_internal,0.02,0.06,0.9,0.05,200,0.7980819999999891,0.7750839999999858,0.09765,0.00793,0.0594059405940594,100000,1237
adaptive_external_zero_latency,0.02,0.06,0.9,0.05,200,0.7980819999999891,0.7750839999999858,0.09765,0.00793,0.0594059405940594,100000,1237
reactive,0.02,0.08,0.9,0.05,200,0.7849331999999904,0.7519375999999927,0.08589,0.02861,0.02,100000,1274
frozen_predictive,0.02,0.08,0.9,0.05,200,0.79011119999999,0.7571487999999919,0.09699,0.01916,0.02,100000,1274
adaptive_internal,0.02,0.08,0.9,0.05,200,0.7862339999999808,0.7464231999999932,0.11305,0.00554,0.08415841584158416,100000,1274
adaptive_external_zero_latency,0.02,0.08,0.9,0.05,200,0.7862339999999808,0.7464231999999932,0.11305,0.00554,0.08415841584158416,100000,1274
reactive,0.02,0.1,0.9,0.05,200,0.7713855999999665,0.730300000000004,0.09487,0.03345,0.02,100000,1311
frozen_predictive,0.02,0.1,0.9,0.05,200,0.7827611999999743,0.7419479999999998,0.10524,0.02205,0.02,100000,1311
adaptive_internal,0.02,0.1,0.9,0.05,200,0.7657487999999494,0.7090384000000262,0.13326,0.0045,0.07425742574257425,100000,1311
adaptive_external_zero_latency,0.02,0.1,0.9,0.05,200,0.7657487999999494,0.7090384000000262,0.13326,0.0045,0.07425742574257425,100000,1311
reactive,0.02,0.15,0.9,0.05,200,0.7486827999999438,0.6834592000000371,0.11531,0.0452,0.02,100000,1348
frozen_predictive,0.02,0.15,0.9,0.05,200,0.7596255999999566,0.6952496000000298,0.12487,0.0295,0.02,100000,1348
adaptive_internal,0.02,0.15,0.9,0.05,200,0.7304707999998759,0.6379480000000818,0.16641,0.00396,0.15346534653465346,100000,1348
adaptive_external_zero_latency,0.02,0.15,0.9,0.05,200,0.7304707999998759,0.6379480000000818,0.16641,0.00396,0.15346534653465346,100000,1348
