true_d,arm,value_per_episode,dhat_mae,policy_accuracy
0.04,own,314.500909,0.014341,0.808182
0.04,external_own,314.500909,0.014341,0.808182
0.04,shuffled,310.586364,0.213677,0.000000
0.04,compressed,314.683773,0.010000,1.000000
0.04,donor,310.586364,0.040000,0.000000
0.04,zero,314.683773,0.010000,1.000000
0.04,oracle,314.683773,0.000000,1.000000
0.08,own,210.108500,0.018566,0.872273
0.08,external_own,210.108500,0.018566,0.872273
0.08,shuffled,209.952591,0.201292,1.000000
0.08,compressed,207.452000,0.030000,0.000000
0.08,donor,207.452000,0.040000,0.000000
0.08,zero,207.452000,0.030000,0.000000
0.08,oracle,209.952591,0.000000,1.000000
