p_low,arm,value,policy_accuracy
0.25,own,268.980943,0.923000
0.25,external,268.980943,0.923000
0.25,shuffled,267.651343,0.742000
0.25,fixed_low,266.043500,0.258000
0.25,fixed_high,267.651343,0.742000
0.25,oracle,269.650300,1.000000
0.50,own,305.487543,0.921286
0.50,external,305.487543,0.921286
0.50,shuffled,301.678057,0.491143
0.50,fixed_low,304.545457,0.508857
0.50,fixed_high,301.678057,0.491143
0.50,oracle,305.501443,1.000000
0.75,own,335.677129,0.919714
0.75,external,335.677129,0.919714
0.75,shuffled,330.098600,0.253286
0.75,fixed_low,336.438029,0.746714
0.75,fixed_high,330.098600,0.253286
0.75,oracle,335.955943,1.000000
