p_low,arm,value,policy_accuracy
0.25,bayes_own,264.502137,0.919625
0.25,naive_own,264.325450,0.925500
0.25,shuffled_bayes,263.382275,0.758875
0.25,fixed_low,261.277837,0.241125
0.25,fixed_high,263.382275,0.758875
0.25,oracle,264.367437,1.000000
0.50,bayes_own,301.875087,0.916500
0.50,naive_own,301.973362,0.923625
0.50,shuffled_bayes,299.475612,0.504625
0.50,fixed_low,301.068862,0.495375
0.50,fixed_high,299.475612,0.504625
0.50,oracle,302.372287,1.000000
0.75,bayes_own,337.418312,0.944000
0.75,naive_own,337.440037,0.929125
0.75,shuffled_bayes,334.423475,0.246250
0.75,fixed_low,337.321687,0.753750
0.75,fixed_high,334.423475,0.246250
0.75,oracle,337.782275,1.000000
