condition,degradation_rate,diagnostic_noise,repair_success,sense_latency,actuation_latency,channel_error,disconnect_prob,reward_per_episode,reward_per_step,mean_lifetime,failure_rate,maintenance_rate,disconnect_events_per_step,episodes
closed_internal,0.02,0.04,0.95,0,0,0.0,0.0,418.62266666666665,0.8372453333333333,500.0,0.0,0.066512,0.0,1500
relocated_zero_latency,0.02,0.04,0.95,0,0,0.0,0.0,418.62266666666665,0.8372453333333333,500.0,0.0,0.066512,0.0,1500
relocated_sense_latency_4,0.02,0.04,0.95,4,0,0.0,0.0,329.734,0.734584669400437,448.8713333333333,0.196,0.1682887598079331,0.0,1500
relocated_actuation_latency_4,0.02,0.04,0.95,0,4,0.0,0.0,329.734,0.734584669400437,448.8713333333333,0.196,0.1682887598079331,0.0,1500
relocated_channel_error_02,0.02,0.04,0.95,0,0,0.02,0.0,415.404,0.830808,500.0,0.0,0.07595733333333334,0.0,1500
relocated_disconnect_02,0.02,0.04,0.95,0,0,0.0,0.02,418.3433333333333,0.83695449210414,499.84,0.0006666666666666666,0.06602779556124627,0.020017072129748185,1500
closed_internal,0.05,0.08,0.9,0,0,0.0,0.0,402.726,0.805452,500.0,0.0,0.104196,0.0,1500
relocated_zero_latency,0.05,0.08,0.9,0,0,0.0,0.0,402.726,0.805452,500.0,0.0,0.104196,0.0,1500
relocated_sense_latency_4,0.05,0.08,0.9,4,0,0.0,0.0,241.346,0.6872743219692223,351.164,0.522,0.21360200172379099,0.0,1500
relocated_actuation_latency_4,0.05,0.08,0.9,0,4,0.0,0.0,241.346,0.6872743219692223,351.164,0.522,0.21360200172379099,0.0,1500
relocated_channel_error_02,0.05,0.08,0.9,0,0,0.02,0.0,399.8213333333333,0.7999039686297524,499.83666666666664,0.0006666666666666666,0.11263412714820174,0.0,1500
relocated_disconnect_02,0.05,0.08,0.9,0,0,0.0,0.02,401.25333333333333,0.8055268553563494,498.12533333333334,0.005333333333333333,0.10370482395327547,0.020146201491458644,1500
closed_internal,0.08,0.12,0.8,0,0,0.0,0.0,381.698,0.763396,500.0,0.0,0.15405866666666668,0.0,1500
relocated_zero_latency,0.08,0.12,0.8,0,0,0.0,0.0,381.698,0.763396,500.0,0.0,0.15405866666666668,0.0,1500
relocated_sense_latency_4,0.08,0.12,0.8,4,0,0.0,0.0,186.114,0.6330164143332343,294.0113333333333,0.6866666666666666,0.26885358160796524,0.0,1500
relocated_actuation_latency_4,0.08,0.12,0.8,0,4,0.0,0.0,186.114,0.6330164143332343,294.0113333333333,0.6866666666666666,0.26885358160796524,0.0,1500
relocated_channel_error_02,0.08,0.12,0.8,0,0,0.02,0.0,378.0946666666667,0.7565504600862812,499.7613333333333,0.0006666666666666666,0.1624442067013321,0.0,1500
relocated_disconnect_02,0.08,0.12,0.8,0,0,0.0,0.02,381.002,0.763136494557924,499.258,0.0026666666666666666,0.15389237628640903,0.019901533876272387,1500
closed_internal,0.12,0.16,0.7,0,0,0.0,0.0,295.30266666666665,0.5906053333333333,500.0,0.0,0.3551106666666667,0.0,1500
relocated_zero_latency,0.12,0.16,0.7,0,0,0.0,0.0,295.30266666666665,0.5906053333333333,500.0,0.0,0.3551106666666667,0.0,1500
relocated_sense_latency_4,0.12,0.16,0.7,4,0,0.0,0.0,170.228,0.5101259222410682,333.698,0.58,0.41924934122070456,0.0,1500
relocated_actuation_latency_4,0.12,0.16,0.7,0,4,0.0,0.0,170.228,0.5101259222410682,333.698,0.58,0.41924934122070456,0.0,1500
relocated_channel_error_02,0.12,0.16,0.7,0,0,0.02,0.0,292.7246666666667,0.5854493333333334,500.0,0.0,0.36042266666666667,0.0,1500
relocated_disconnect_02,0.12,0.16,0.7,0,0,0.0,0.02,296.66066666666666,0.5933213333333334,500.0,0.0,0.35145866666666664,0.020088,1500
