condition,degradation_rate,reward_per_episode,post_reward_per_episode,mean_lifetime,failure_rate,maintenance_rate,detection_fraction,mean_detection_delay,mean_reconstruction_abs_error,recovery_fraction,mean_recovery_steps,episodes
intact_internal,0.05,394.67333333333335,236.21666666666667,496.5466666666667,0.016666666666666666,0.10161515533954513,0.0,-1.0,-1.0,0.0,-1.0,300
disrupted_no_repair,0.05,394.49666666666667,236.04,496.5466666666667,0.016666666666666666,0.10156816412019011,0.0,-1.0,-1.0,0.0,-1.0,300
own_history_internal,0.05,393.81333333333333,235.35666666666665,495.9,0.02,0.10224507629226323,0.9966666666666667,10.652173913043478,0.12308821680587845,0.9966666666666667,13.7123745819398,300
own_history_external_zero_latency,0.05,393.81333333333333,235.35666666666665,495.9,0.02,0.10224507629226323,0.9966666666666667,10.652173913043478,0.12308821680587845,0.9966666666666667,13.7123745819398,300
shuffled_history,0.05,393.79,235.33333333333334,495.5933333333333,0.02,0.1016021200177565,0.9966666666666667,10.652173913043478,0.18683098716290267,0.9933333333333333,13.325503355704697,300
stale_history,0.05,394.06,235.60333333333332,495.9,0.02,0.10143846205552194,0.9966666666666667,10.652173913043478,0.19142700945602073,0.9966666666666667,13.277591973244148,300
donor_history,0.05,392.9866666666667,234.53,496.80333333333334,0.016666666666666666,0.10558168557645212,0.9966666666666667,10.652173913043478,0.21471892274660895,0.9966666666666667,15.709030100334449,300
zero_memory,0.05,393.6166666666667,235.16,495.5933333333333,0.02,0.10163574974105113,0.9966666666666667,10.652173913043478,0.20840802675585293,0.9933333333333333,13.664429530201343,300
oracle_repair,0.05,392.5566666666667,234.1,495.0366666666667,0.023333333333333334,0.1034401492145363,0.9966666666666667,10.652173913043478,0.0,0.9966666666666667,10.652173913043478,300
intact_internal,0.08,354.5566666666667,208.54333333333332,476.50666666666666,0.08,0.1586756393754547,0.0,-1.0,-1.0,0.0,-1.0,300
disrupted_no_repair,0.08,352.18666666666667,206.17333333333335,473.5,0.09,0.1587046814501936,0.0,-1.0,-1.0,0.0,-1.0,300
own_history_internal,0.08,352.42333333333335,206.41,474.4766666666667,0.08666666666666667,0.16007109587405072,0.9466666666666667,7.785211267605634,0.12714539415006823,0.9466666666666667,11.799295774647888,300
own_history_external_zero_latency,0.08,352.42333333333335,206.41,474.4766666666667,0.08666666666666667,0.16007109587405072,0.9466666666666667,7.785211267605634,0.12714539415006823,0.9466666666666667,11.799295774647888,300
shuffled_history,0.08,353.39666666666665,207.38333333333333,475.36333333333334,0.08333333333333333,0.15914142866158518,0.9466666666666667,7.785211267605634,0.20585218637123973,0.9466666666666667,11.253521126760564,300
stale_history,0.08,353.2,207.18666666666667,474.99666666666667,0.08333333333333333,0.1591800644215047,0.9466666666666667,7.785211267605634,0.20488338419604338,0.9466666666666667,11.397887323943662,300
donor_history,0.08,351.51,205.49666666666667,474.78333333333336,0.08333333333333333,0.1628040860743497,0.9466666666666667,7.785211267605634,0.15910724646060018,0.9466666666666667,12.464788732394366,300
zero_memory,0.08,349.46666666666664,203.45333333333335,469.99,0.09666666666666666,0.15908139889501194,0.9466666666666667,7.785211267605634,0.26561971830985925,0.9333333333333333,12.185714285714285,300
oracle_repair,0.08,351.44,205.42666666666668,473.87333333333333,0.08666666666666667,0.1612878265640607,0.9466666666666667,7.785211267605634,0.0,0.9466666666666667,7.785211267605634,300
intact_internal,0.12,283.51666666666665,169.32,500.0,0.0,0.37406666666666666,0.0,-1.0,-1.0,0.0,-1.0,300
disrupted_no_repair,0.12,283.83,169.63333333333333,500.0,0.0,0.3733066666666667,0.0,-1.0,-1.0,0.0,-1.0,300
own_history_internal,0.12,283.25333333333333,169.05666666666667,500.0,0.0,0.37462,1.0,12.426666666666666,0.1230071730912605,1.0,15.67,300
own_history_external_zero_latency,0.12,283.25333333333333,169.05666666666667,500.0,0.0,0.37462,1.0,12.426666666666666,0.1230071730912605,1.0,15.67,300
shuffled_history,0.12,283.72,169.52333333333334,500.0,0.0,0.37348,1.0,12.426666666666666,0.1818318971711369,1.0,15.646666666666667,300
stale_history,0.12,283.99333333333334,169.79666666666665,500.0,0.0,0.3729266666666667,1.0,12.426666666666666,0.18533728724196402,1.0,15.426666666666666,300
donor_history,0.12,281.4866666666667,167.29,500.0,0.0,0.37858,1.0,12.426666666666666,0.1736191799927183,1.0,17.863333333333333,300
zero_memory,0.12,284.2366666666667,170.04,500.0,0.0,0.37218666666666667,1.0,12.426666666666666,0.20756000000000005,1.0,14.733333333333333,300
oracle_repair,0.12,282.75333333333333,168.55666666666667,500.0,0.0,0.37554666666666664,1.0,12.426666666666666,0.0,1.0,12.426666666666666,300
