true_d,arm,value_per_episode,failure_rate,mean_lifetime,policy_accuracy
0.04,own,98.321000,0.882000,147.261000,0.161000
0.04,shuffled,102.258500,0.879000,147.537000,0.000000
0.04,compressed,98.082200,0.882000,147.141000,0.169000
0.04,oracle,98.082200,0.882000,147.141000,0.169000
0.08,own,36.342300,0.993000,54.910000,0.004000
0.08,shuffled,36.517900,0.993000,54.782000,0.000000
0.08,compressed,36.160700,0.992000,54.772000,0.000000
0.08,oracle,36.517900,0.993000,54.782000,0.016000
0.12,own,22.212700,1.000000,34.496000,0.000000
0.12,shuffled,22.212700,1.000000,34.496000,0.000000
0.12,compressed,22.212700,1.000000,34.496000,0.000000
0.12,oracle,22.212700,1.000000,34.496000,0.000000
