true_d,arm,reward_per_episode,failure_rate,mean_lifetime
0.04,own_calibrated,70.413333,0.998333,99.818333
0.04,shuffled_calibrated,71.045000,0.996667,101.755000
0.04,compressed_calibrated,70.431667,0.998333,99.640000
0.04,donor_calibrated,70.766667,0.998333,100.928333
0.04,oracle_calibrated,70.431667,0.998333,99.640000
0.08,own_calibrated,30.290000,1.000000,41.831667
0.08,shuffled_calibrated,30.290000,1.000000,41.831667
0.08,compressed_calibrated,30.290000,1.000000,41.831667
0.08,donor_calibrated,30.290000,1.000000,41.831667
0.08,oracle_calibrated,30.290000,1.000000,41.831667
0.12,own_calibrated,21.128333,1.000000,29.961667
0.12,shuffled_calibrated,21.128333,1.000000,29.961667
0.12,compressed_calibrated,21.128333,1.000000,29.961667
0.12,donor_calibrated,21.128333,1.000000,29.961667
0.12,oracle_calibrated,21.128333,1.000000,29.961667
