condition,degradation_rate,diagnostic_noise,repair_success,latency,reward_per_episode,reward_per_step,mean_lifetime,failure_rate,maintenance_rate,n_episodes,episode_cap
myopic,0.02,0.04,0.95,0,38.07266666666667,0.7539241442131249,50.49933333333333,1.0,0.0,1500,500
threshold,0.02,0.04,0.95,0,234.07,0.753227612660737,310.756,0.6733333333333333,0.044437865506485257,1500,500
continuation_internal,0.02,0.04,0.95,0,418.568,0.837136,500.0,0.0,0.06615866666666667,1500,500
continuation_external_zero_latency,0.02,0.04,0.95,0,418.568,0.837136,500.0,0.0,0.06615866666666667,1500,500
continuation_external_latency_4,0.02,0.04,0.95,4,333.45466666666664,0.7361723547177365,452.95733333333334,0.184,0.1672828640225128,1500,500
myopic,0.05,0.08,0.9,0,25.358666666666668,0.7544078856032209,33.614,1.0,0.0,1500,500
threshold,0.05,0.08,0.9,0,190.10133333333334,0.7353978831830654,258.5013333333333,0.7806666666666666,0.07253863294064247,1500,500
continuation_internal,0.05,0.08,0.9,0,403.29066666666665,0.8065813333333334,500.0,0.0,0.10385066666666666,1500,500
continuation_external_zero_latency,0.05,0.08,0.9,0,403.29066666666665,0.8065813333333334,500.0,0.0,0.10385066666666666,1500,500
continuation_external_latency_4,0.05,0.08,0.9,4,242.88,0.690948745910578,351.51666666666665,0.5233333333333333,0.21071926414110284,1500,500
myopic,0.08,0.12,0.8,0,18.92,0.7448427904047031,25.401333333333334,1.0,0.0,1500,500
threshold,0.08,0.12,0.8,0,160.43533333333335,0.7098322262467996,226.01866666666666,0.862,0.10831848696862796,1500,500
continuation_internal,0.08,0.12,0.8,0,381.522,0.763044,500.0,0.0,0.15404666666666667,1500,500
continuation_external_zero_latency,0.08,0.12,0.8,0,381.522,0.763044,500.0,0.0,0.15404666666666667,1500,500
continuation_external_latency_4,0.08,0.12,0.8,4,189.486,0.6359629201189456,297.9513333333333,0.6793333333333333,0.2660635853282527,1500,500
myopic,0.12,0.16,0.7,0,13.806666666666667,0.7297392529950669,18.92,1.0,0.0,1500,500
threshold,0.12,0.16,0.7,0,98.12933333333334,0.67233055163499,145.954,0.97,0.15232196445455418,1500,500
continuation_internal,0.12,0.16,0.7,0,295.5353333333333,0.5910706666666666,500.0,0.0,0.3538,1500,500
continuation_external_zero_latency,0.12,0.16,0.7,0,295.5353333333333,0.5910706666666666,500.0,0.0,0.3538,1500,500
continuation_external_latency_4,0.12,0.16,0.7,4,172.14133333333334,0.5131470429835073,335.462,0.574,0.41594577031079527,1500,500
