condition,degradation_rate,reward_per_episode,post_reward_per_episode,mean_lifetime,failure_rate,maintenance_rate,mean_recovery_steps,recovery_fraction,episodes
intact_internal,0.05,386.8833333333333,229.50333333333333,487.18333333333334,0.04666666666666667,0.10244603332078957,0.976027397260274,0.9733333333333334,300
external_zero_latency,0.05,386.8833333333333,229.50333333333333,487.18333333333334,0.04666666666666667,0.10244603332078957,0.976027397260274,0.9733333333333334,300
estimator_reset,0.05,384.5133333333333,227.97666666666666,484.78,0.05,0.1022044363766382,2.095890410958904,0.9733333333333334,300
reset_with_reconstruction,0.05,388.5233333333333,230.75333333333333,488.37,0.043333333333333335,0.10113233818621127,1.3457627118644069,0.9833333333333333,300
reset_with_stale_reconstruction,0.05,388.33,231.02666666666667,488.66,0.043333333333333335,0.101270140111052,1.222972972972973,0.9866666666666667,300
state_estimator_replacement,0.05,322.9533333333333,165.99333333333334,408.1333333333333,0.32666666666666666,0.10228683436785364,0.8576388888888888,0.96,300
action_channel_intervention,0.05,367.44,209.76,480.75,0.07,0.1358294331773271,0.8775510204081632,0.98,300
intact_internal,0.08,350.77,205.88333333333333,472.93,0.1,0.1604606742364973,1.8013937282229966,0.9566666666666667,300
external_zero_latency,0.08,350.77,205.88333333333333,472.93,0.1,0.1604606742364973,1.8013937282229966,0.9566666666666667,300
estimator_reset,0.08,347.49,202.56333333333333,467.30333333333334,0.12,0.1592042285168092,2.232394366197183,0.9466666666666667,300
reset_with_reconstruction,0.08,354.04333333333335,207.65,475.8666666666667,0.09333333333333334,0.1580414681983749,2.292682926829268,0.9566666666666667,300
reset_with_stale_reconstruction,0.08,355.98333333333335,208.96333333333334,479.3233333333333,0.08,0.15903669756670863,2.0482758620689654,0.9666666666666667,300
state_estimator_replacement,0.08,246.64,99.86666666666666,334.06333333333333,0.5733333333333334,0.1553398058252427,1.250936329588015,0.89,300
action_channel_intervention,0.08,329.5566666666667,183.05666666666667,459.3566666666667,0.14666666666666667,0.18643465136023568,1.8035087719298246,0.95,300
intact_internal,0.12,283.94666666666666,170.55,500.0,0.0,0.3735266666666667,1.6366666666666667,1.0,300
external_zero_latency,0.12,283.94666666666666,170.55,500.0,0.0,0.3735266666666667,1.6366666666666667,1.0,300
estimator_reset,0.12,284.26666666666665,169.49666666666667,499.00666666666666,0.0033333333333333335,0.3717184807150205,0.6889632107023411,0.9966666666666667,300
reset_with_reconstruction,0.12,283.88666666666666,170.05,500.0,0.0,0.37418666666666667,1.8133333333333332,1.0,300
reset_with_stale_reconstruction,0.12,283.60333333333335,169.59,500.0,0.0,0.3740266666666667,2.1966666666666668,1.0,300
state_estimator_replacement,0.12,167.81666666666666,53.17333333333333,290.67,0.7333333333333333,0.35426199240834394,1.4822695035460993,0.94,300
action_channel_intervention,0.12,246.68,132.91333333333333,447.35,0.18333333333333332,0.3900450802876197,1.3204225352112675,0.9466666666666667,300
