condition,degradation_rate,diagnostic_noise,repair_success,reward_per_episode,reward_per_step,mean_lifetime,failure_rate,maintenance_rate,intervention_events_per_episode,episodes
intact_closed,0.02,0.04,0.95,418.278,0.836556,500.0,0.0,0.066078,0.0,1000
external_zero_latency,0.02,0.04,0.95,418.278,0.836556,500.0,0.0,0.066078,0.0,1000
state_severed_post150,0.02,0.04,0.95,159.686,0.8128665092034534,196.448,1.0,0.049081690829125266,45.448,1000
action_severed_10,0.02,0.04,0.95,417.6,0.8361716314357284,499.419,0.003,0.06566830657223693,2.599,1000
blackout_hold,0.02,0.04,0.95,390.608,0.8278136291869325,471.855,0.112,0.06987316018692183,38.403,1000
blackout_reconstruct_internal,0.02,0.04,0.95,413.667,0.8343004084102253,495.825,0.016,0.06686230020672616,39.729,1000
blackout_reconstruct_external,0.02,0.04,0.95,413.667,0.8343004084102253,495.825,0.016,0.06686230020672616,39.729,1000
blackout_shuffled_ledger,0.02,0.04,0.95,400.159,0.8234317286224316,485.965,0.053,0.0791703106190775,39.089,1000
intact_closed,0.05,0.08,0.9,402.905,0.80581,500.0,0.0,0.103958,0.0,1000
external_zero_latency,0.05,0.08,0.9,402.905,0.80581,500.0,0.0,0.103958,0.0,1000
state_severed_post150,0.05,0.08,0.9,145.057,0.7956088678272507,182.322,1.0,0.08428494641348823,31.322,1000
action_severed_10,0.05,0.08,0.9,400.566,0.8064757080414828,496.687,0.017,0.10290585418986202,3.888,1000
blackout_hold,0.05,0.08,0.9,295.828,0.795623677111713,371.819,0.471,0.10632323791952536,31.618,1000
blackout_reconstruct_internal,0.05,0.08,0.9,376.382,0.8031384498515916,468.639,0.121,0.10436391337468713,37.953,1000
blackout_reconstruct_external,0.05,0.08,0.9,376.382,0.8031384498515916,468.639,0.121,0.10436391337468713,37.953,1000
blackout_shuffled_ledger,0.05,0.08,0.9,361.027,0.7914117422689678,456.181,0.164,0.11721443900557016,37.096,1000
intact_closed,0.08,0.12,0.8,381.494,0.762988,500.0,0.0,0.154468,0.0,1000
external_zero_latency,0.08,0.12,0.8,381.494,0.762988,500.0,0.0,0.154468,0.0,1000
state_severed_post150,0.08,0.12,0.8,132.286,0.7593827855018886,174.202,1.0,0.13237505883973777,23.202,1000
action_severed_10,0.08,0.12,0.8,378.949,0.7628135706492638,496.778,0.022,0.153247527064403,5.818,1000
blackout_hold,0.08,0.12,0.8,237.009,0.750543886149666,315.783,0.654,0.15791540393244727,27.189,1000
blackout_reconstruct_internal,0.08,0.12,0.8,335.707,0.7599978266824534,441.721,0.22,0.15383918808478655,36.159,1000
blackout_reconstruct_external,0.08,0.12,0.8,335.707,0.7599978266824534,441.721,0.22,0.15383918808478655,36.159,1000
blackout_shuffled_ledger,0.08,0.12,0.8,324.691,0.7477775628270322,434.208,0.247,0.16776061242538137,35.563,1000
intact_closed,0.12,0.16,0.7,294.741,0.589482,500.0,0.0,0.356098,0.0,1000
external_zero_latency,0.12,0.16,0.7,294.741,0.589482,500.0,0.0,0.356098,0.0,1000
state_severed_post150,0.12,0.16,0.7,102.333,0.6055422085991219,168.994,1.0,0.3144904552824361,17.994,1000
action_severed_10,0.12,0.16,0.7,296.548,0.5998575948086835,494.364,0.033,0.34238536786659224,13.001,1000
blackout_hold,0.12,0.16,0.7,170.332,0.5747527475308496,296.357,0.714,0.36233664128061766,25.783,1000
blackout_reconstruct_internal,0.12,0.16,0.7,276.983,0.5931151591980248,466.997,0.128,0.3488030972361707,37.954,1000
blackout_reconstruct_external,0.12,0.16,0.7,276.983,0.5931151591980248,466.997,0.128,0.3488030972361707,37.954,1000
blackout_shuffled_ledger,0.12,0.16,0.7,246.325,0.585963518374027,420.376,0.298,0.3544231830551697,34.887,1000
