maintenance_cost,degradation,best_value,best_trigger,best_recovery_target
0.05,0.04,394.978611,0.63,0.88
0.05,0.08,377.813056,0.63,0.88
0.05,0.12,360.901944,0.63,0.78
0.15,0.04,390.576111,0.63,0.88
0.15,0.08,370.874722,0.63,0.88
0.15,0.12,353.366944,0.63,0.78
0.30,0.04,385.966111,0.63,0.88
0.30,0.08,363.611111,0.63,0.78
0.30,0.12,342.125556,0.63,0.78
0.50,0.04,377.913889,0.63,0.78
0.50,0.08,352.511111,0.63,0.78
0.50,0.12,326.722222,0.63,0.78
0.80,0.04,364.980000,0.63,0.78
0.80,0.08,333.437778,0.63,0.78
0.80,0.12,304.912222,0.63,0.78
