true_d,arm,value,reward,failure,lifetime,maintenance_rate,dhat_mae,policy_accuracy
0.04,own,305.740056,316.430556,0.345556,404.795556,0.084180,0.015471,0.734444
0.04,external_own,305.740056,316.430556,0.345556,404.795556,0.084180,0.015471,0.734444
0.04,shuffled,301.702389,315.560556,0.334444,411.822778,0.107661,0.216129,0.000000
0.04,compressed,305.885778,315.336111,0.360556,400.400556,0.075606,0.010000,1.000000
0.04,donor,301.702389,315.560556,0.334444,411.822778,0.107661,0.080000,0.000000
0.04,zero,305.885778,315.336111,0.360556,400.400556,0.075606,0.010000,1.000000
0.04,oracle,305.885778,315.336111,0.360556,400.400556,0.075606,0.000000,1.000000
0.08,own,208.187056,222.578889,0.655556,308.440556,0.141812,0.020373,0.587222
0.08,external_own,208.187056,222.578889,0.655556,308.440556,0.141812,0.020373,0.587222
0.08,shuffled,210.141667,225.193333,0.643889,313.376667,0.146398,0.202311,0.000000
0.08,compressed,202.331944,212.329444,0.714444,283.972778,0.107579,0.030000,0.000000
0.08,donor,202.331944,212.329444,0.714444,283.972778,0.107579,0.060000,0.000000
0.08,zero,202.331944,212.329444,0.714444,283.972778,0.107579,0.030000,0.000000
0.08,oracle,210.141667,225.193333,0.643889,313.376667,0.146398,0.000000,1.000000
0.12,own,151.354778,166.137778,0.798889,245.743333,0.175010,0.025558,0.815556
0.12,external_own,151.354778,166.137778,0.798889,245.743333,0.175010,0.025558,0.815556
0.12,shuffled,151.735000,166.596667,0.796111,246.539444,0.175392,0.181447,1.000000
0.12,compressed,134.753278,143.844444,0.893333,201.997778,0.130792,0.070000,0.000000
0.12,donor,134.753278,143.844444,0.893333,201.997778,0.130792,0.100000,0.000000
0.12,zero,134.753278,143.844444,0.893333,201.997778,0.130792,0.070000,0.000000
0.12,oracle,151.735000,166.596667,0.796111,246.539444,0.175392,0.000000,1.000000
