true_d,arm,value,reward,failure,lifetime,maintenance_rate,dhat_mae,policy_accuracy
0.04,own,223.424467,244.374667,0.507333,357.510667,0.180620,0.015601,0.737333
0.04,external_own,223.424467,244.374667,0.507333,357.510667,0.180620,0.015601,0.737333
0.04,shuffled,240.573333,254.945333,0.539333,348.090667,0.127063,0.217414,0.000000
0.04,compressed,215.992200,239.258000,0.499333,359.318667,0.200014,0.010000,1.000000
0.04,donor,240.573333,254.945333,0.539333,348.090667,0.127063,0.080000,0.000000
0.04,zero,215.992200,239.258000,0.499333,359.318667,0.200014,0.010000,1.000000
0.04,oracle,215.992200,239.258000,0.499333,359.318667,0.200014,0.000000,1.000000
0.08,own,125.051400,137.144000,0.870000,204.009333,0.163060,0.021518,0.553333
0.08,external_own,125.051400,137.144000,0.870000,204.009333,0.163060,0.021518,0.553333
0.08,shuffled,126.771867,137.866667,0.880000,201.493333,0.153134,0.202911,0.000000
0.08,compressed,113.878800,131.630000,0.852667,216.385333,0.228117,0.030000,0.000000
0.08,donor,113.878800,131.630000,0.852667,216.385333,0.228117,0.060000,0.000000
0.08,zero,113.878800,131.630000,0.852667,216.385333,0.228117,0.030000,0.000000
0.08,oracle,126.771867,137.866667,0.880000,201.493333,0.153134,0.000000,1.000000
0.12,own,82.093733,91.607333,0.968667,142.710000,0.180256,0.025291,0.816000
0.12,external_own,82.093733,91.607333,0.968667,142.710000,0.180256,0.025291,0.816000
0.12,shuffled,82.002400,91.480000,0.968667,142.434000,0.179737,0.180493,1.000000
0.12,compressed,71.563733,86.417333,0.958000,154.572000,0.260251,0.070000,0.000000
0.12,donor,71.563733,86.417333,0.958000,154.572000,0.260251,0.100000,0.000000
0.12,zero,71.563733,86.417333,0.958000,154.572000,0.260251,0.070000,0.000000
0.12,oracle,82.002400,91.480000,0.968667,142.434000,0.179737,0.000000,1.000000
