arm,d,reward,post_reward,lifetime,failure,maint,gap_action_match,recon_error
own,0.05,368.15875,210.8275,465.31,0.1325,0.10295,0.692531,0.097827
external_own,0.05,368.15875,210.8275,465.31,0.1325,0.10295,0.692531,0.097827
shuffled,0.05,365.315,207.98375,461.8525,0.1475,0.103058,0.690296,0.100613
stale,0.05,367.23625,209.905,464.25375,0.13875,0.103066,0.696954,0.092371
donor,0.05,374.15625,216.825,473.4325,0.105,0.104912,0.731284,0.314376
zero,0.05,355.23625,197.905,449.15,0.18875,0.102196,0.64559,0.103039
oracle,0.05,366.575,209.24375,463.28625,0.14125,0.103011,0.727022,0.0
own,0.08,326.7025,179.70625,441.07,0.215,0.158654,0.662011,0.109696
external_own,0.08,326.7025,179.70625,441.07,0.215,0.158654,0.662011,0.109696
shuffled,0.08,322.58125,175.585,435.8275,0.2325,0.158798,0.648746,0.113194
stale,0.08,326.88625,179.89,441.5475,0.215,0.15889,0.648298,0.10401
donor,0.08,333.21375,186.2175,450.90875,0.18375,0.160587,0.656942,0.314474
zero,0.08,316.1325,169.13625,426.68625,0.265,0.157686,0.629416,0.107185
oracle,0.08,328.60375,181.6075,443.49,0.21,0.158141,0.678626,0.0
own,0.12,267.81125,154.1075,468.04875,0.11375,0.366207,0.630187,0.094564
external_own,0.12,267.81125,154.1075,468.04875,0.11375,0.366207,0.630187,0.094564
shuffled,0.12,267.88625,154.1825,468.2775,0.1125,0.366428,0.631685,0.095025
stale,0.12,267.49375,153.79,467.335,0.11625,0.36606,0.630937,0.094149
donor,0.12,270.1175,156.41375,473.34875,0.095,0.368254,0.618242,0.363261
zero,0.12,263.305,149.60125,460.8325,0.13875,0.366996,0.629917,0.071208
oracle,0.12,265.61625,151.9125,464.49,0.12625,0.366574,0.651274,0.0
