mode,d,reward,post_reward,lifetime,failure,maint,gap_action_match,recon_error
ordered_filter,0.05,355.942,198.094,449.796,0.182,0.102393,0.680153,0.079975
external_ordered,0.05,355.942,198.094,449.796,0.182,0.102393,0.680153,0.079975
mean,0.05,355.384,197.536,449.054,0.188,0.102242,0.686334,0.091545
last,0.05,357.084,199.236,451.166,0.178,0.102375,0.674481,0.06767
median,0.05,354.146,196.298,447.568,0.192,0.102224,0.671035,0.091227
shuffled_filter,0.05,355.962,198.114,449.824,0.184,0.102378,0.685553,0.093424
zero,0.05,346.484,188.636,437.574,0.226,0.101505,0.65565,0.097741
oracle,0.05,359.206,201.358,453.732,0.17,0.102629,0.698563,0.0
ordered_filter,0.08,313.188,166.482,421.84,0.288,0.156581,0.652995,0.099368
external_ordered,0.08,313.188,166.482,421.84,0.288,0.156581,0.652995,0.099368
mean,0.08,308.436,161.73,415.41,0.308,0.156178,0.639282,0.105668
last,0.08,308.722,162.016,415.622,0.314,0.156469,0.642812,0.095978
median,0.08,307.004,160.298,413.46,0.318,0.156054,0.643672,0.098164
shuffled_filter,0.08,306.76,160.054,413.032,0.322,0.156143,0.65595,0.10677
zero,0.08,299.576,152.87,403.508,0.354,0.155714,0.619134,0.100586
oracle,0.08,315.012,168.306,424.516,0.28,0.157195,0.6551,0.0
ordered_filter,0.12,255.392,141.674,447.14,0.192,0.365899,0.614137,0.090531
external_ordered,0.12,255.392,141.674,447.14,0.192,0.365899,0.614137,0.090531
mean,0.12,255.292,141.574,446.646,0.194,0.365618,0.618996,0.087854
last,0.12,260.034,146.316,453.854,0.168,0.364584,0.616175,0.103305
median,0.12,258.322,144.604,450.77,0.178,0.364279,0.61944,0.077616
shuffled_filter,0.12,254.776,141.058,445.554,0.198,0.365267,0.61277,0.08858
zero,0.12,258.552,144.834,450.7,0.178,0.363652,0.619803,0.063972
oracle,0.12,257.23,143.512,448.532,0.188,0.363675,0.634322,0.0
