condition,post_degradation,pre_reward_per_step,post_reward_per_step,post_maintenance_rate,post_low_health_fraction,final_model_degradation,mean_post_model_abs_error,final_policy_threshold
frozen_model_frozen_policy,0.04000000,0.80858400,0.80243840,0.09368000,0.01110000,0.03000000,0.01000000,0.68000000
adaptive_model_frozen_policy,0.04000000,0.80912533,0.80006560,0.09812000,0.00832000,0.01473330,0.01547273,0.68000000
frozen_model_adaptive_policy,0.04000000,0.75216267,0.74972640,0.16328000,0.00002000,0.03000000,0.01000000,0.77699969
adaptive_model_adaptive_policy_internal,0.04000000,0.75249067,0.74910560,0.16162000,0.00038000,0.06657970,0.01622634,0.74286402
adaptive_model_adaptive_policy_external,0.04000000,0.75249067,0.74910560,0.16162000,0.00038000,0.06657970,0.01622634,0.74286402
oracle,0.04000000,0.75216267,0.74958000,0.16300000,0.00006000,0.03000000,0.01000000,0.76237184
frozen_model_frozen_policy,0.06000000,0.80985067,0.77908800,0.11260000,0.01632000,0.03000000,0.03000000,0.68000000
adaptive_model_frozen_policy,0.06000000,0.80912133,0.76946000,0.13050000,0.00652000,0.03438931,0.01921867,0.68000000
frozen_model_adaptive_policy,0.06000000,0.75206667,0.74960480,0.16096000,0.00052000,0.03000000,0.03000000,0.76749443
adaptive_model_adaptive_policy_internal,0.06000000,0.75219867,0.74923760,0.15452000,0.00308000,0.07808758,0.01954351,0.73258330
adaptive_model_adaptive_policy_external,0.06000000,0.75219867,0.74923760,0.15452000,0.00308000,0.07808758,0.01954351,0.73258330
oracle,0.06000000,0.75206667,0.74920640,0.15978000,0.00060000,0.03000000,0.03000000,0.71972427
frozen_model_frozen_policy,0.08000000,0.80915200,0.75537920,0.13234000,0.02002000,0.03000000,0.05000000,0.68000000
adaptive_model_frozen_policy,0.08000000,0.81014133,0.72527200,0.17590000,0.00406000,0.07682919,0.02345053,0.68000000
frozen_model_adaptive_policy,0.08000000,0.75202533,0.74926240,0.14648000,0.00944000,0.03000000,0.05000000,0.72932175
adaptive_model_adaptive_policy_internal,0.08000000,0.75198933,0.74869840,0.14318000,0.01658000,0.08470137,0.02276349,0.66744375
adaptive_model_adaptive_policy_external,0.08000000,0.75198933,0.74869840,0.14318000,0.01658000,0.08470137,0.02276349,0.66744375
oracle,0.08000000,0.75202533,0.74860160,0.14782000,0.00832000,0.03000000,0.05000000,0.66740344
frozen_model_frozen_policy,0.12000000,0.80740800,0.71985360,0.16572000,0.03138000,0.03000000,0.09000000,0.68000000
adaptive_model_frozen_policy,0.12000000,0.80835867,0.65615360,0.24622000,0.00102000,0.13002003,0.02628543,0.68000000
frozen_model_adaptive_policy,0.12000000,0.75200800,0.67183360,0.15072000,0.12740000,0.03000000,0.09000000,0.45000000
adaptive_model_adaptive_policy_internal,0.12000000,0.75206800,0.70948240,0.15498000,0.05826000,0.18826381,0.02658670,0.45000000
adaptive_model_adaptive_policy_external,0.12000000,0.75206800,0.70948240,0.15498000,0.05826000,0.18826381,0.02658670,0.45000000
oracle,0.12000000,0.75200800,0.70910960,0.15392000,0.05926000,0.03000000,0.09000000,0.45166350
frozen_model_frozen_policy,0.15000000,0.81057733,0.69376800,0.18760000,0.03592000,0.03000000,0.12000000,0.68000000
adaptive_model_frozen_policy,0.15000000,0.81157467,0.61390960,0.28592000,0.00084000,0.10353425,0.02649485,0.68000000
frozen_model_adaptive_policy,0.15000000,0.75209600,0.64431120,0.17424000,0.15302000,0.03000000,0.12000000,0.45000000
adaptive_model_adaptive_policy_internal,0.15000000,0.75186533,0.68753040,0.18358000,0.05426000,0.17932988,0.02968387,0.45000000
adaptive_model_adaptive_policy_external,0.15000000,0.75186533,0.68753040,0.18358000,0.05426000,0.17932988,0.02968387,0.45000000
oracle,0.15000000,0.75209600,0.69093920,0.18134000,0.05646000,0.03000000,0.12000000,0.45000000
