condition,post_shift_degradation,reward_per_step,work_accuracy,maintenance_rate,low_health_fraction,final_deg_estimate,final_health_weight,n_steps
frozen,0.04,0.8015113333334009,0.8982164396931944,0.094975,0.008466666666666667,0.03,0.25,120000
adaptive_model,0.04,0.8010853333334021,0.9024624891306359,0.09915,0.006083333333333333,0.04665198453913767,0.25,120000
adaptive_policy,0.04,0.8028673333333949,0.8908168201608266,0.08700833333333333,0.012858333333333333,0.03,0.0,120000
joint_adaptive,0.04,0.803581000000062,0.89440396866076,0.08953333333333334,0.0107,0.03684134434657336,0.0,120000
external_joint,0.04,0.803581000000062,0.89440396866076,0.08953333333333334,0.0107,0.03684134434657336,0.0,120000
frozen,0.06,0.7895663333334082,0.8978579355235795,0.10639166666666666,0.012,0.03,0.25,120000
adaptive_model,0.06,0.7784036666667618,0.9061411357103425,0.12448333333333333,0.003691666666666667,0.054350182834353646,0.25,120000
adaptive_policy,0.06,0.7899670000000681,0.8902138918698886,0.09923333333333334,0.018191666666666665,0.03,0.0,120000
joint_adaptive,0.06,0.7887516666667485,0.9002572858679889,0.10929166666666666,0.0095,0.06547875694585584,0.0,120000
external_joint,0.06,0.7887516666667485,0.9002572858679889,0.10929166666666666,0.0095,0.06547875694585584,0.0,120000
frozen,0.08,0.7750736666667348,0.8951392629977223,0.118275,0.014516666666666667,0.03,0.25,120000
adaptive_model,0.08,0.7370750000000683,0.9100350525788683,0.16791666666666666,0.0026666666666666666,0.07090104108339998,0.25,120000
adaptive_policy,0.08,0.7777960000000695,0.8899794695840482,0.111075,0.022491666666666667,0.03,0.0,120000
joint_adaptive,0.08,0.7672663333334128,0.903198216379327,0.13285,0.0056166666666666665,0.07387267321716494,0.0,120000
external_joint,0.08,0.7672663333334128,0.903198216379327,0.13285,0.0056166666666666665,0.07387267321716494,0.0,120000
frozen,0.12,0.7488203333333999,0.8901387435569508,0.1399,0.019916666666666666,0.03,0.25,120000
adaptive_model,0.12,0.685707999999983,0.9087494546886139,0.21680833333333333,0.002675,0.12794134807124208,0.25,120000
adaptive_policy,0.12,0.7478970000000608,0.8828950282627327,0.13460833333333333,0.0331,0.03,0.0,120000
joint_adaptive,0.12,0.6807473333333043,0.9097455901579613,0.22238333333333332,0.0024916666666666668,0.12954058931774418,0.0,120000
external_joint,0.12,0.6807473333333043,0.9097455901579613,0.22238333333333332,0.0024916666666666668,0.12954058931774418,0.0,120000
frozen,0.16,0.725362333333384,0.8868432022549974,0.16038333333333332,0.025425,0.03,0.25,120000
adaptive_model,0.16,0.7153156666667054,0.8940505215024938,0.17625833333333332,0.015916666666666666,0.1640506766984854,0.25,120000
adaptive_policy,0.16,0.726116333333383,0.8829729436053461,0.15639166666666668,0.03455833333333334,0.03,0.15817026522951075,120000
joint_adaptive,0.16,0.6811243333333147,0.9047177453739235,0.2182,0.0030083333333333333,0.1753100047278213,0.0,120000
external_joint,0.16,0.6811243333333147,0.9047177453739235,0.2182,0.0030083333333333333,0.1753100047278213,0.0,120000
