condition,degradation_rate,diagnostic_noise,repair_success,latency,reward_per_step,work_accuracy,maintenance_rate,low_health_fraction,final_health,n_steps
reactive,0.01,0.04,0.95,0,0.826234000000002,0.8706134840871022,0.0448,0.00586,0.8039999999999992,100000
predictive_internal,0.01,0.04,0.95,0,0.8361116000000034,0.8883650783606488,0.05182,0.00445,0.8239999999999998,100000
predictive_external_zero_latency,0.01,0.04,0.95,0,0.8361116000000034,0.8883650783606488,0.05182,0.00445,0.8239999999999998,100000
predictive_external_latency_2,0.01,0.04,0.95,2,0.7871943999999884,0.8820150877541778,0.09463,0.01249,0.8539999999999999,100000
predictive_external_latency_8,0.01,0.04,0.95,8,0.6555255999997517,0.8668244515702143,0.21412,0.04063,0.994,100000
reactive,0.03,0.08,0.9,0,0.8067623999999955,0.8754269510859057,0.06898,0.01577,0.8539999999999999,100000
predictive_internal,0.03,0.08,0.9,0,0.8118271999999974,0.8986018954755632,0.08519,0.0073,0.8879999999999999,100000
predictive_external_zero_latency,0.03,0.08,0.9,0,0.8118271999999974,0.8986018954755632,0.08519,0.0073,0.8879999999999999,100000
predictive_external_latency_2,0.03,0.08,0.9,2,0.7557731999999509,0.89086522923496,0.13364,0.02193,0.8539999999999999,100000
predictive_external_latency_8,0.03,0.08,0.9,8,0.6198015999997364,0.864524972385984,0.24857,0.07664,0.988,100000
reactive,0.06,0.12,0.8,0,0.7662155999999658,0.8764420157862781,0.11062,0.03161,0.984,100000
predictive_internal,0.06,0.12,0.8,0,0.748128799999932,0.9089055870291796,0.15626,0.0033,0.8879999999999999,100000
predictive_external_zero_latency,0.06,0.12,0.8,0,0.748128799999932,0.9089055870291796,0.15626,0.0033,0.8879999999999999,100000
predictive_external_latency_2,0.06,0.12,0.8,2,0.6803027999998033,0.8969807100922561,0.21306,0.01644,0.964,100000
predictive_external_latency_8,0.06,0.12,0.8,8,0.5433563999997261,0.8577239966394977,0.32153,0.0932,0.9119999999999999,100000
reactive,0.1,0.16,0.7,0,0.6986583999998661,0.8710278789933057,0.17393,0.05573,0.7879999999999998,100000
predictive_internal,0.1,0.16,0.7,0,0.5773927999996907,0.914799537050776,0.32606,0.0004,0.964,100000
predictive_external_zero_latency,0.1,0.16,0.7,0,0.5773927999996907,0.914799537050776,0.32606,0.0004,0.964,100000
predictive_external_latency_2,0.1,0.16,0.7,2,0.5225771999997154,0.8986541113806059,0.36919,0.015,0.984,100000
predictive_external_latency_8,0.1,0.16,0.7,8,0.44900799999980023,0.8641874945948284,0.42185,0.05929,0.994,100000
