degrade_prob,condition,utility_per_step,accuracy,maintenance_rate,mean_health,low_health_rate
0.01,calibrated,0.9073168,0.9077,0.00479,0.9030610,0.00009
0.01,shuffled_placebo,0.7579368,0.75832,0.00479,0.5722212,0.40896
0.01,budget_matched_ablation,0.7692968,0.76968,0.00479,0.5988531,0.36988
0.03,calibrated,0.8988752,0.90006,0.01481,0.8892824,0.00120
0.03,shuffled_placebo,0.7675552,0.76874,0.01481,0.5965542,0.37293
0.03,budget_matched_ablation,0.7619852,0.76317,0.01481,0.5828953,0.40015
0.06,calibrated,0.8936008,0.89582,0.02774,0.8784413,0.00442
0.06,shuffled_placebo,0.7571808,0.75940,0.02774,0.5748610,0.40365
0.06,budget_matched_ablation,0.7620208,0.76424,0.02774,0.5850732,0.38850
0.10,calibrated,0.8827456,0.88638,0.04543,0.8621242,0.01070
0.10,shuffled_placebo,0.7560656,0.75970,0.04543,0.5782487,0.39423
0.10,budget_matched_ablation,0.7542656,0.75790,0.04543,0.5800203,0.39378
