agent,world_persistence,sensor_switch_prob,accuracy,world_mutual_information_bits,self_state_mutual_information_bits,n_steps
feedback_only,0.5,0.01,0.71892,0.14308188463203292,0,50000
self_state,0.5,0.01,0.64854,0.06463475952443097,2.2839852845773362e-05,50000
feedback_only,0.5,0.05,0.72512,0.15161401019774412,0,50000
self_state,0.5,0.05,0.6439,0.06060127248325249,0.00014589679282614974,50000
feedback_only,0.5,0.15,0.7271,0.15444719498582998,0,50000
self_state,0.5,0.15,0.6413,0.05840363904075001,1.6500066394033088e-05,50000
feedback_only,0.7,0.01,0.7358,0.16700886948086824,0,50000
self_state,0.7,0.01,0.69918,0.11772281850027967,0.07485235167977514,50000
feedback_only,0.7,0.05,0.71734,0.1409492726878136,0,50000
self_state,0.7,0.05,0.69204,0.10919613205796364,0.008645938451365864,50000
feedback_only,0.7,0.15,0.72508,0.15155300519790577,0,50000
self_state,0.7,0.15,0.68216,0.09796832848732769,0.00399734460792283,50000
feedback_only,0.9,0.01,0.70842,0.1292323696126904,0,50000
self_state,0.9,0.01,0.71324,0.13539079846833754,0.12163135843729561,50000
feedback_only,0.9,0.05,0.72486,0.15123033173922484,0,50000
self_state,0.9,0.05,0.71038,0.13181297895841232,0.020241084949850215,50000
feedback_only,0.9,0.15,0.72724,0.15463505984023918,0,50000
self_state,0.9,0.15,0.71168,0.13341393057503526,0.0036261540222686066,50000
feedback_only,0.97,0.01,0.71556,0.13856900080157514,0,50000
self_state,0.97,0.01,0.72094,0.14581129688833963,0.11977152808367292,50000
feedback_only,0.97,0.05,0.72594,0.1527724692617815,0,50000
self_state,0.97,0.05,0.71984,0.14430623464054515,0.015007253373809204,50000
feedback_only,0.97,0.15,0.72724,0.15457017726037414,0,50000
self_state,0.97,0.15,0.71942,0.14367337141310188,0.0018642046599633474,50000
