condition,world_persistence,sensor_switch_prob,expensive_sensor_cost,utility_per_step,accuracy,reliable_sensor_rate,world_mutual_information_bits,sensor_state_action_mutual_information_bits,n_steps
calibrated,0.7,0.01,0.12,0.7988536,0.83773,0.32397,0.3602925643737642,0.09866000604050891,100000
shuffled_placebo,0.7,0.01,0.12,0.7665836000000001,0.80546,0.32397,0.2891192893715695,4.744544676767463e-05,100000
ablated_budget_matched,0.7,0.01,0.12,0.7652536,0.80413,0.32397,0.28640193863498836,4.2763195364514954e-08,100000
calibrated,0.7,0.05,0.12,0.7778732,0.81458,0.30589,0.30817531928227215,0.020361758087348615,100000
shuffled_placebo,0.7,0.05,0.12,0.7614732000000001,0.79818,0.30589,0.2744197940422698,7.685104489470033e-07,100000
ablated_budget_matched,0.7,0.05,0.12,0.7591232000000001,0.79583,0.30589,0.26978461422660394,3.130931481339647e-05,100000
calibrated,0.7,0.15,0.12,0.7729588000000002,0.81232,0.32801,0.30341090335700655,0.004209508605447387,100000
shuffled_placebo,0.7,0.15,0.12,0.7624087999999999,0.80177,0.32801,0.28162423991907815,2.900461750213537e-05,100000
ablated_budget_matched,0.7,0.15,0.12,0.7600088,0.79937,0.32801,0.2768247815162348,7.392615564758833e-06,100000
calibrated,0.9,0.01,0.12,0.7933128,0.82143,0.23431,0.32307700810166473,0.19113157379044288,100000
shuffled_placebo,0.9,0.01,0.12,0.7551528,0.78327,0.23431,0.24587275613136073,3.103958378614601e-06,100000
ablated_budget_matched,0.9,0.01,0.12,0.7549728,0.78309,0.23431,0.24551247793652853,6.384881615442988e-07,100000
calibrated,0.9,0.05,0.12,0.7642992000000002,0.78489,0.17159,0.24888714338698056,0.04911066183409762,100000
shuffled_placebo,0.9,0.05,0.12,0.7449591999999999,0.76555,0.17159,0.21428924842884586,6.464879090800342e-07,100000
ablated_budget_matched,0.9,0.05,0.12,0.7438792,0.76447,0.17159,0.2124513948852614,1.7253839176274537e-06,100000
calibrated,0.9,0.15,0.12,0.7549832,0.77435,0.16139,0.22959413898643263,0.008908081264279631,100000
shuffled_placebo,0.9,0.15,0.12,0.7438332,0.7632,0.16139,0.21026965434012185,2.858046979977314e-07,100000
ablated_budget_matched,0.9,0.15,0.12,0.7425132000000001,0.76188,0.16139,0.20804705240258614,1.3842744860483643e-05,100000
calibrated,0.97,0.01,0.12,0.7916664,0.81807,0.22003,0.31571160530282244,0.19761744665150374,100000
shuffled_placebo,0.97,0.01,0.12,0.7536564,0.78006,0.22003,0.2399527086922232,7.38719259949568e-06,100000
ablated_budget_matched,0.97,0.01,0.12,0.7533264,0.77973,0.22003,0.23935396654130964,6.55013377223279e-07,100000
calibrated,0.97,0.05,0.12,0.7592120000000001,0.77678,0.1464,0.23391921792247033,0.046098071098387906,100000
shuffled_placebo,0.97,0.05,0.12,0.7408920000000001,0.75846,0.1464,0.2023162871348303,5.47751461131877e-06,100000
ablated_budget_matched,0.97,0.05,0.12,0.7413219999999999,0.75889,0.1464,0.2030302636880111,7.424842051118193e-06,100000
calibrated,0.97,0.15,0.12,0.7480716000000001,0.76194,0.11557,0.2082203718867268,0.0066119170646285995,100000
shuffled_placebo,0.97,0.15,0.12,0.7384416,0.75231,0.11557,0.19240393168704614,5.662093394498977e-06,100000
ablated_budget_matched,0.97,0.15,0.12,0.7377716000000001,0.75164,0.11557,0.19133246125339973,1.384071945069584e-08,100000
