condition,degradation_rate,latency,diagnostic_noise,repair_success,threshold_used,accuracy,utility_per_step,mean_health,low_health_fraction,maintenance_rate
internal,0.01,0,0.04,0.95,0.72,0.89348,0.8931144000000103,0.8735944740552593,0.0,0.00914
external_zero_latency,0.01,0,0.04,0.95,0.72,0.89348,0.8931144000000103,0.8735944740552593,0.0,0.00914
external_latency_2,0.01,2,0.04,0.95,0.5583953857421875,0.84874,0.8483728000000078,0.7723617063829356,0.00013,0.00918
external_latency_8,0.01,8,0.04,0.95,0.0465545654296875,0.72703,0.7266639999999996,0.49843543564564297,0.57226,0.00915
shuffled,0.01,0,0.04,0.95,0.009321212768554688,0.78699,0.7866244000000038,0.6378022519774798,0.33063,0.00914
internal,0.03,0,0.08,0.9,0.72,0.8989,0.8983788000000146,0.8897171928280717,0.0,0.01303
external_zero_latency,0.03,0,0.08,0.9,0.72,0.8989,0.8983788000000146,0.8897171928280717,0.0,0.01303
external_latency_2,0.03,2,0.08,0.9,0.6479940414428711,0.88173,0.8812088000000141,0.851051369486305,0.0,0.01303
external_latency_8,0.03,8,0.08,0.9,0.2693939208984375,0.78596,0.7854392000000058,0.6405370946290531,0.37247,0.01302
shuffled,0.03,0,0.08,0.9,0.013164520263671875,0.80929,0.8087688000000076,0.6913373266267333,0.25866,0.01303
internal,0.06,0,0.12,0.8,0.72,0.90692,0.9060808000000252,0.903721052789472,0.0,0.02098
external_zero_latency,0.06,0,0.12,0.8,0.72,0.90692,0.9060808000000252,0.903721052789472,0.0,0.02098
external_latency_2,0.06,2,0.12,0.8,0.6654019355773926,0.89298,0.8921408000000247,0.8739823501764981,0.0,0.02098
external_latency_8,0.06,8,0.12,0.8,0.43798828125,0.83492,0.834080400000016,0.7423702262977367,0.10981,0.02099
shuffled,0.06,0,0.12,0.8,0.0210418701171875,0.83152,0.8306808000000173,0.7362154778452212,0.19483,0.02098
internal,0.1,0,0.16,0.7,0.72,0.91246,0.9110692000000439,0.9162477375226247,0.0,0.03477
external_zero_latency,0.1,0,0.16,0.7,0.72,0.91246,0.9110692000000439,0.9162477375226247,0.0,0.03477
external_latency_2,0.1,2,0.16,0.7,0.6819000244140625,0.90276,0.9013692000000408,0.8938207217927819,0.0,0.03477
external_latency_8,0.1,8,0.16,0.7,0.5220298767089844,0.861,0.8596100000000331,0.8022424175758239,0.00568,0.03475
shuffled,0.1,0,0.16,0.7,0.035625457763671875,0.85852,0.8571292000000323,0.7965799342006578,0.11596,0.03477
