subset,metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All,fDM_inner_half_mean,110,-0.4515540197423909,7.370122184363603e-07,-0.4975692302582682,3.19963632119371e-08
All,fDM_outer_half_mean,110,-0.344813411383032,0.00022520472634617448,-0.5026743319915563,2.1940886574676016e-08
All,fDM_outer_minus_inner_half,110,0.28357269051021194,0.002681779513729351,0.3093217458436329,0.0010084313892552701
All,fDM_inner_Reff_mean,106,-0.41371230836179057,1.0428432037334096e-05,-0.44489039625412663,1.7699413445242709e-06
All,fDM_outer_Reff_mean,106,-0.44260157249432447,2.0283277263851994e-06,-0.5894562187170801,2.9796140393044223e-11
All,fDM_outer_minus_inner_Reff,106,0.15649536532983996,0.10915525114223079,0.1560506134370627,0.11017833240621847
Q=1,fDM_inner_half_mean,71,-0.5288787999115473,2.1231125299419723e-06,-0.5620482257209197,3.39193824995587e-07
Q=1,fDM_outer_half_mean,71,-0.49700583417091504,1.0391963184671347e-05,-0.5664928194309267,2.6123429310964537e-07
Q=1,fDM_outer_minus_inner_half,71,0.3420562969114917,0.0035039178910068166,0.3352565421484129,0.004263332576760686
Q=1,fDM_inner_Reff_mean,70,-0.4984121521510375,1.1288649929030137e-05,-0.5095129022123296,6.645213562492645e-06
Q=1,fDM_outer_Reff_mean,70,-0.5912114806877251,7.098521592569362e-08,-0.6591410561613055,5.507339701381816e-10
Q=1,fDM_outer_minus_inner_Reff,70,0.19170377506058464,0.11187689550519091,0.13719416757603084,0.2574049595403312
Disk,fDM_inner_half_mean,86,-0.4436058767300748,1.8870290604885527e-05,-0.48360463150451366,2.3955667317688185e-06
Disk,fDM_outer_half_mean,86,-0.3789926758205428,0.0003201489153484283,-0.5693957662056099,1.0596913020138661e-08
Disk,fDM_outer_minus_inner_half,86,0.24412227233860645,0.02350302447855913,0.2092559164657387,0.05315881690292012
Disk,fDM_inner_Reff_mean,86,-0.373275635112034,0.0004004049483451049,-0.3766210131307721,0.0003514541026771595
Disk,fDM_outer_Reff_mean,86,-0.4494232648695374,1.4200576429820115e-05,-0.5786903674735913,5.349000348654653e-09
Disk,fDM_outer_minus_inner_Reff,86,0.08025485294108273,0.46261466991131794,0.05620167020517406,0.6072710449523855
Disk+Q=1,fDM_inner_half_mean,56,-0.5499677625767138,1.1305764740628314e-05,-0.5532082337990458,9.789323848180173e-06
Disk+Q=1,fDM_outer_half_mean,56,-0.5927819535407598,1.482730312750897e-06,-0.6574026783778935,3.7149688750814615e-08
Disk+Q=1,fDM_outer_minus_inner_half,56,0.3298351702856675,0.013046684491464127,0.26024681974369,0.05273229907896002
Disk+Q=1,fDM_inner_Reff_mean,56,-0.4580077691902237,0.0003860555764943469,-0.40866979503740875,0.0017659969009540953
Disk+Q=1,fDM_outer_Reff_mean,56,-0.6108500948502141,5.744380953755749e-07,-0.636960329999235,1.3082475943540522e-07
Disk+Q=1,fDM_outer_minus_inner_Reff,56,0.12209905811440695,0.37000813737554433,0.03852596425208704,0.7780170463831898
